지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
영동대교,20220301,유입,1109.0,784.0,579.0,395.0,361.0,516.0,773.0,1048.0,1197.0,1612.0,2047.0,2327.0,2430.0,2569.0,2582.0,2614.0,2864.0,2677.0,2368.0,2260.0,2080.0,1893.0,1724.0,994.0
영동대교,20220302,유입,705.0,529.0,329.0,289.0,317.0,681.0,1239.0,1958.0,2603.0,2389.0,2723.0,2853.0,2631.0,2822.0,3271.0,3340.0,4125.0,4203.0,3918.0,3783.0,2879.0,2820.0,2709.0,1470.0
영동대교,20220303,유입,1075.0,759.0,609.0,418.0,424.0,705.0,1212.0,2119.0,2733.0,2503.0,2826.0,2649.0,2642.0,2741.0,3287.0,3458.0,4123.0,4323.0,3985.0,3701.0,2794.0,3068.0,2858.0,1540.0
영동대교,20220304,유입,1116.0,804.0,633.0,477.0,463.0,744.0,1336.0,2065.0,2688.0,2410.0,2809.0,2901.0,2793.0,3032.0,3325.0,3683.0,4032.0,3954.0,3824.0,3473.0,3101.0,2983.0,3006.0,1572.0
영동대교,20220305,유입,1180.0,808.0,679.0,518.0,463.0,655.0,1014.0,1267.0,2124.0,2512.0,2647.0,3036.0,3153.0,3292.0,3402.0,3597.0,4268.0,3818.0,3259.0,2644.0,2405.0,2225.0,2186.0,1351.0
영동대교,20220306,유입,973.0,680.0,555.0,327.0,340.0,410.0,642.0,837.0,1231.0,1837.0,2096.0,2197.0,2538.0,2775.0,2728.0,2625.0,2986.0,2879.0,2612.0,2331.0,1982.0,1794.0,1632.0,1040.0
영동대교,20220307,유입,725.0,502.0,372.0,288.0,323.0,661.0,1296.0,1985.0,2615.0,2467.0,2490.0,2703.0,2758.0,2698.0,3025.0,3321.0,3735.0,3941.0,4096.0,3463.0,2734.0,2746.0,2487.0,1673.0
영동대교,20220308,유입,1110.0,778.0,598.0,436.0,464.0,699.0,1199.0,2036.0,2689.0,2502.0,2686.0,2761.0,2773.0,3019.0,3099.0,3535.0,4058.0,4428.0,4205.0,3636.0,3295.0,2943.0,2607.0,1843.0
영동대교,20220309,유입,1252.0,883.0,732.0,539.0,441.0,607.0,895.0,1102.0,1381.0,1831.0,2220.0,2428.0,2469.0,2614.0,2579.0,2879.0,2749.0,2775.0,2274.0,2131.0,2015.0,1908.0,1697.0,1155.0
영동대교,20220310,유입,770.0,581.0,439.0,364.0,368.0,654.0,1240.0,1989.0,2649.0,2434.0,2620.0,2735.0,2611.0,2863.0,3059.0,3619.0,3996.0,4223.0,4012.0,3451.0,3001.0,2786.0,2806.0,1733.0
영동대교,20220311,유입,1143.0,916.0,695.0,446.0,452.0,677.0,1197.0,2070.0,2679.0,2522.0,2732.0,2886.0,2795.0,2960.0,3377.0,3663.0,4073.0,4311.0,4111.0,4035.0,3121.0,2735.0,2823.0,1962.0
영동대교,20220312,유입,1223.0,1067.0,803.0,557.0,453.0,699.0,1077.0,1249.0,2067.0,2509.0,2938.0,2991.0,3052.0,3408.0,3418.0,3644.0,3807.0,3693.0,3398.0,2781.0,2440.0,2409.0,2071.0,1349.0
영동대교,20220313,유입,939.0,655.0,476.0,356.0,288.0,363.0,574.0,770.0,1160.0,1648.0,2023.0,2066.0,2305.0,2737.0,2694.0,2640.0,2690.0,2750.0,2352.0,2024.0,1896.0,1817.0,1721.0,1038.0
영동대교,20220314,유입,681.0,513.0,355.0,280.0,331.0,640.0,1247.0,2040.0,2662.0,2330.0,2794.0,2633.0,2628.0,2701.0,3020.0,3128.0,3930.0,3958.0,3848.0,2994.0,2616.0,2643.0,2274.0,1610.0
영동대교,20220315,유입,1108.0,801.0,530.0,405.0,489.0,710.0,1192.0,2101.0,2736.0,2527.0,2758.0,2757.0,2662.0,2733.0,3178.0,3415.0,3854.0,4446.0,4108.0,3763.0,2752.0,2804.0,2625.0,1788.0
영동대교,20220316,유입,1139.0,838.0,583.0,488.0,446.0,691.0,1175.0,2058.0,2738.0,2457.0,2660.0,2759.0,2534.0,2853.0,3160.0,3269.0,4113.0,4133.0,4067.0,3497.0,3067.0,2781.0,2605.0,1775.0
영동대교,20220317,유입,1236.0,883.0,652.0,517.0,441.0,712.0,1192.0,2043.0,2744.0,2559.0,2781.0,2925.0,2611.0,2867.0,3048.0,3539.0,3927.0,4000.0,4036.0,3497.0,2961.0,2823.0,2573.0,1756.0
영동대교,20220318,유입,1205.0,875.0,678.0,474.0,452.0,771.0,1143.0,2102.0,2688.0,2592.0,2715.0,2821.0,2853.0,2894.0,3322.0,3648.0,4012.0,4131.0,4053.0,3613.0,2893.0,2954.0,2780.0,1882.0
영동대교,20220319,유입,1263.0,973.0,792.0,587.0,489.0,648.0,991.0,1223.0,1979.0,2563.0,2709.0,2936.0,3037.0,3243.0,3397.0,3440.0,3432.0,3390.0,2926.0,2704.0,2412.0,2239.0,2189.0,1457.0
영동대교,20220320,유입,1018.0,740.0,588.0,408.0,344.0,487.0,688.0,836.0,1237.0,1886.0,2114.0,2194.0,2552.0,2976.0,2792.0,2848.0,2817.0,2731.0,2565.0,2218.0,2104.0,1868.0,1805.0,1130.0
영동대교,20220321,유입,785.0,558.0,369.0,298.0,325.0,709.0,1288.0,2045.0,2754.0,2443.0,2850.0,2791.0,2646.0,2734.0,3015.0,3372.0,3920.0,4346.0,4182.0,3517.0,2818.0,2685.0,2439.0,1706.0
