주차장명,주차대수,이용시간,code,월,일,휴일여부,평균기온(°C),일반이용자(아침),일반이용자(낮),일반이용자(저녁),비
뚝섬1주차장,273,1.3974969474969474,5,11,10,1,14.4,5489.393939393939,39916.454545454544,56486.666666666664,0
잠실1주차장,1059,1.0443972300912812,11,11,10,1,14.4,6577.571428571428,30023.551020408162,24601.61224489796,0
강서1주차장,329,1.3614488348530902,1,11,10,1,14.4,10556.060606060606,46010.606060606064,29326.363636363636,0
여의도5주차장,229,1.6382096069868994,8,11,10,1,14.4,4180.727272727273,58907.51515151515,57783.333333333336,0
여의도2주차장,1934,1.293821096173733,8,11,10,1,14.4,4180.727272727273,58907.51515151515,57783.333333333336,0
양화1주차장,384,1.3748263888888888,7,11,10,1,14.4,7097.878787878788,43567.121212121216,54711.30303030303,0
양화2주차장,88,1.9092803030303032,7,11,10,1,14.4,7097.878787878788,43567.121212121216,54711.30303030303,0
양화3주차장,1270,1.5637795275590551,7,11,10,1,14.4,7097.878787878788,43567.121212121216,54711.30303030303,0
잠원2-6주차장,2365,1.5653488372093023,10,11,10,1,14.4,15673.265306122448,28164.30612244898,45400.42857142857,0
여의도1주차장,3398,1.741804002354326,8,11,10,1,14.4,4180.727272727273,58907.51515151515,57783.333333333336,0
뚝섬3주차장,686,1.5269193391642373,5,11,10,1,14.4,5489.393939393939,39916.454545454544,56486.666666666664,0
"망원2,3주차장",1586,1.4407944514501891,3,11,10,1,14.4,31181.81818181818,188474.84848484848,197723.48484848486,0
반포1주차장,1174,1.0240488358886997,9,11,10,1,14.4,6521.272727272727,30663.363636363636,29598.060606060608,0
광나루4주차장,113,1.28141592920354,6,11,10,1,14.4,4046.108108108108,44370.51351351351,31266.35135135135,0
망원1주차장,574,2.077642276422764,3,11,10,1,14.4,31181.81818181818,188474.84848484848,197723.48484848486,0
"반포2,3주차장",3409,1.4875427789185491,9,11,10,1,14.4,6521.272727272727,30663.363636363636,29598.060606060608,0
뚝섬4주차장,864,1.532002314814815,5,11,10,1,14.4,5489.393939393939,39916.454545454544,56486.666666666664,0
이촌2주차장,541,1.5938693776956254,4,11,10,1,14.4,12426.363636363636,65846.24242424243,30452.757575757576,0
이촌1주차장,355,0.5496244131455399,4,11,10,1,14.4,12426.363636363636,65846.24242424243,30452.757575757576,0
여의도4주차장,41,0.8105691056910569,8,11,10,1,14.4,4180.727272727273,58907.51515151515,57783.333333333336,0
"광나루1,2주차장",1014,1.7686061801446415,6,11,10,1,14.4,4046.108108108108,44370.51351351351,31266.35135135135,0
뚝섬2주차장,965,1.8712435233160625,5,11,10,1,14.4,5489.393939393939,39916.454545454544,56486.666666666664,0
