지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,년도,월,휴일여부
청담대교,2024-09-30,유입,875.0,630.0,493.0,480.0,762.0,2012.0,3183.0,3432.0,3085.0,3000.0,3417.0,3534.0,3213.0,3229.0,3361.0,3307.0,3619.0,3381.0,2888.0,3249.0,3386.0,3117.0,2490.0,1821.0,2024,9,평일
청담대교,2024-09-29,유입,1037.0,731.0,517.0,449.0,489.0,798.0,1252.0,1895.0,2909.0,3236.0,3423.0,3345.0,3278.0,2939.0,3025.0,3410.0,3372.0,3299.0,3085.0,3112.0,3164.0,3019.0,2152.0,1352.0,2024,9,주말
청담대교,2024-09-28,유입,1381.0,1059.0,763.0,687.0,852.0,1654.0,2386.0,2720.0,3817.0,3511.0,3343.0,3431.0,3386.0,3400.0,3386.0,3609.0,3464.0,2996.0,2573.0,3002.0,3049.0,3022.0,2523.0,1600.0,2024,9,주말
청담대교,2024-09-27,유입,1265.0,895.0,666.0,611.0,883.0,1912.0,3096.0,3285.0,3334.0,3240.0,3374.0,3366.0,3346.0,3297.0,3332.0,3564.0,3493.0,2927.0,2499.0,2981.0,3537.0,3495.0,3147.0,2060.0,2024,9,평일
청담대교,2024-09-26,유입,1155.0,819.0,613.0,533.0,823.0,1885.0,3106.0,3390.0,3237.0,3331.0,3321.0,3353.0,3320.0,3083.0,2160.0,3361.0,3594.0,3309.0,2780.0,3576.0,3406.0,3243.0,3417.0,2175.0,2024,9,평일
청담대교,2024-09-25,유입,1051.0,836.0,622.0,502.0,797.0,1826.0,3150.0,3620.0,3528.0,3381.0,3379.0,3557.0,3315.0,3186.0,3245.0,3270.0,3626.0,3304.0,2964.0,3334.0,3414.0,3075.0,3038.0,1799.0,2024,9,평일
청담대교,2024-09-24,유입,978.0,746.0,610.0,501.0,732.0,1872.0,3213.0,3578.0,3522.0,3406.0,3299.0,2980.0,3282.0,3244.0,3333.0,3447.0,3923.0,3629.0,2564.0,3332.0,3344.0,3174.0,2485.0,1828.0,2024,9,평일
청담대교,2024-09-23,유입,840.0,604.0,443.0,433.0,779.0,2044.0,3267.0,3475.0,3298.0,3110.0,3467.0,3269.0,3223.0,3102.0,3330.0,3384.0,4155.0,4094.0,2924.0,3178.0,3224.0,2810.0,2429.0,1476.0,2024,9,평일
청담대교,2024-09-22,유입,956.0,638.0,476.0,352.0,469.0,808.0,1281.0,1738.0,2448.0,3079.0,3256.0,3082.0,3109.0,3279.0,3156.0,3237.0,3131.0,3298.0,2907.0,2907.0,2798.0,2768.0,2066.0,1200.0,2024,9,주말
청담대교,2024-09-21,유입,1189.0,833.0,614.0,564.0,799.0,1354.0,1925.0,2148.0,2700.0,2760.0,2970.0,3217.0,3035.0,3531.0,3270.0,3483.0,3400.0,3562.0,3092.0,2548.0,2675.0,2634.0,1943.0,1369.0,2024,9,주말
청담대교,2024-09-20,유입,987.0,714.0,540.0,490.0,743.0,1599.0,2919.0,3302.0,2993.0,3329.0,3017.0,2845.0,3085.0,2944.0,2894.0,3127.0,3048.0,2889.0,3184.0,3286.0,3240.0,2919.0,2342.0,1672.0,2024,9,평일
청담대교,2024-09-19,유입,770.0,583.0,365.0,351.0,633.0,1602.0,3141.0,3320.0,2936.0,2945.0,3139.0,3200.0,3043.0,3239.0,3197.0,3265.0,3454.0,3382.0,3182.0,2940.0,2924.0,2645.0,2190.0,1409.0,2024,9,평일
청담대교,2024-09-18,유입,1450.0,958.0,718.0,675.0,538.0,598.0,717.0,979.0,1332.0,2300.0,3050.0,3289.0,3112.0,3056.0,3070.0,3114.0,3141.0,2888.0,2347.0,2309.0,2511.0,2309.0,1760.0,1085.0,2024,9,휴일
청담대교,2024-09-17,유입,611.0,390.0,260.0,201.0,248.0,468.0,1474.0,3209.0,3572.0,3502.0,2762.0,3424.0,3250.0,3264.0,3319.0,3239.0,2919.0,3242.0,2999.0,2993.0,3137.0,3046.0,2923.0,1890.0,2024,9,휴일
청담대교,2024-09-16,유입,750.0,585.0,457.0,414.0,461.0,636.0,950.0,1372.0,1882.0,3120.0,3445.0,3270.0,3145.0,3193.0,3115.0,3270.0,3205.0,3101.0,2920.0,2623.0,2572.0,2528.0,1948.0,1000.0,2024,9,휴일
청담대교,2024-09-15,유입,828.0,528.0,374.0,351.0,432.0,643.0,1023.0,1523.0,2532.0,3130.0,3336.0,3427.0,3169.0,3039.0,3289.0,3132.0,3328.0,3590.0,2529.0,2640.0,2515.0,2316.0,1783.0,1041.0,2024,9,주말
청담대교,2024-09-14,유입,1178.0,956.0,715.0,611.0,821.0,1396.0,1843.0,2343.0,3175.0,3154.0,3335.0,3396.0,3217.0,3203.0,3245.0,3481.0,3284.0,3374.0,2714.0,2423.0,2529.0,2503.0,2143.0,1249.0,2024,9,주말
청담대교,2024-09-13,유입,1264.0,839.0,713.0,613.0,830.0,1809.0,2858.0,3273.0,2952.0,2994.0,2964.0,3314.0,3355.0,3086.0,3178.0,3098.0,3095.0,3078.0,2621.0,3045.0,3082.0,3070.0,3036.0,1776.0,2024,9,평일
청담대교,2024-09-12,유입,1087.0,848.0,662.0,618.0,835.0,1839.0,2821.0,2975.0,2785.0,2677.0,2909.0,3286.0,3440.0,3317.0,2780.0,3203.0,3015.0,3002.0,2588.0,3118.0,3331.0,3257.0,2859.0,1893.0,2024,9,평일
청담대교,2024-09-11,유입,1053.0,849.0,635.0,624.0,865.0,1975.0,3092.0,3381.0,3423.0,3266.0,2865.0,3129.0,3331.0,3323.0,3405.0,3354.0,3465.0,3226.0,2670.0,2861.0,3404.0,3315.0,2854.0,1711.0,2024,9,평일
청담대교,2024-09-10,유입,1053.0,768.0,619.0,552.0,835.0,1912.0,3169.0,3389.0,3316.0,3323.0,3274.0,3381.0,3389.0,3246.0,3122.0,2989.0,2768.0,2793.0,2862.0,3237.0,3463.0,3344.0,2666.0,1798.0,2024,9,평일
청담대교,2024-09-09,유입,868.0,618.0,534.0,518.0,793.0,1469.0,2874.0,3246.0,3272.0,3264.0,3036.0,3393.0,3190.0,3031.0,3207.0,3189.0,3202.0,3350.0,3091.0,3373.0,3378.0,2912.0,2398.0,1565.0,2024,9,평일
청담대교,2024-09-08,유입,1116.0,707.0,487.0,395.0,504.0,906.0,1392.0,1803.0,2801.0,3306.0,3314.0,3148.0,3081.0,3169.0,3129.0,3350.0,3291.0,3267.0,2981.0,3062.0,3219.0,3177.0,2324.0,1335.0,2024,9,주말
