날짜,호선,역명,구분,아침 합계,낮 합계,저녁 합계
2020-01-01,7호선,뚝섬유원지,승차,892,1991,1114
2020-01-01,7호선,뚝섬유원지,하차,651,1794,1412
2020-01-02,7호선,뚝섬유원지,승차,3333,2591,1760
2020-01-02,7호선,뚝섬유원지,하차,1161,2412,3739
2020-01-03,7호선,뚝섬유원지,승차,3274,2475,1919
2020-01-03,7호선,뚝섬유원지,하차,1167,2339,3727
2020-01-04,7호선,뚝섬유원지,승차,1302,3150,1723
2020-01-04,7호선,뚝섬유원지,하차,647,2992,2286
2020-01-05,7호선,뚝섬유원지,승차,901,2944,1458
2020-01-05,7호선,뚝섬유원지,하차,452,2780,1913
2020-01-06,7호선,뚝섬유원지,승차,3505,2120,1483
2020-01-06,7호선,뚝섬유원지,하차,1199,1880,3736
2020-01-07,7호선,뚝섬유원지,승차,3424,1990,1531
2020-01-07,7호선,뚝섬유원지,하차,1127,1847,3584
2020-01-08,7호선,뚝섬유원지,승차,3437,2252,1784
2020-01-08,7호선,뚝섬유원지,하차,1152,2070,3778
2020-01-09,7호선,뚝섬유원지,승차,3468,2419,1931
2020-01-09,7호선,뚝섬유원지,하차,1178,2489,3857
2020-01-10,7호선,뚝섬유원지,승차,3445,2541,1990
2020-01-10,7호선,뚝섬유원지,하차,1151,2429,3927
2020-01-11,7호선,뚝섬유원지,승차,1319,3390,2033
2020-01-11,7호선,뚝섬유원지,하차,757,3374,2447
2020-01-12,7호선,뚝섬유원지,승차,989,3041,1428
2020-01-12,7호선,뚝섬유원지,하차,476,2861,1961
2020-01-13,7호선,뚝섬유원지,승차,3499,2404,1656
2020-01-13,7호선,뚝섬유원지,하차,1207,2340,3764
2020-01-14,7호선,뚝섬유원지,승차,3454,2537,1866
2020-01-14,7호선,뚝섬유원지,하차,1197,2466,3770
2020-01-15,7호선,뚝섬유원지,승차,3476,2536,1936
2020-01-15,7호선,뚝섬유원지,하차,1177,2455,3892
2020-01-16,7호선,뚝섬유원지,승차,3403,2769,1975
2020-01-16,7호선,뚝섬유원지,하차,1184,2667,3877
2020-01-17,7호선,뚝섬유원지,승차,3374,2596,1960
2020-01-17,7호선,뚝섬유원지,하차,1163,2499,3857
2020-01-18,7호선,뚝섬유원지,승차,1404,3609,2034
2020-01-18,7호선,뚝섬유원지,하차,741,3663,2382
2020-01-19,7호선,뚝섬유원지,승차,927,2716,1303
2020-01-19,7호선,뚝섬유원지,하차,481,2573,1774
2020-01-20,7호선,뚝섬유원지,승차,3444,2707,1699
2020-01-20,7호선,뚝섬유원지,하차,1201,2575,3768
2020-01-21,7호선,뚝섬유원지,승차,3371,2506,1964
2020-01-21,7호선,뚝섬유원지,하차,1214,2420,3865
2020-01-22,7호선,뚝섬유원지,승차,3341,2522,1947
2020-01-22,7호선,뚝섬유원지,하차,1131,2973,3771
2020-01-23,7호선,뚝섬유원지,승차,3042,2721,1849
2020-01-23,7호선,뚝섬유원지,하차,1081,2978,3058
2020-01-24,7호선,뚝섬유원지,승차,638,2133,1147
2020-01-24,7호선,뚝섬유원지,하차,344,2055,1238
2020-01-25,7호선,뚝섬유원지,승차,567,2116,1169
2020-01-25,7호선,뚝섬유원지,하차,449,1976,1144
2020-01-26,7호선,뚝섬유원지,승차,597,2618,1513
2020-01-26,7호선,뚝섬유원지,하차,307,2654,1690
2020-01-27,7호선,뚝섬유원지,승차,744,2299,892
2020-01-27,7호선,뚝섬유원지,하차,394,1926,1435
2020-01-28,7호선,뚝섬유원지,승차,3122,2176,1647
2020-01-28,7호선,뚝섬유원지,하차,1071,2023,3579
2020-01-29,7호선,뚝섬유원지,승차,3357,2364,1747
2020-01-29,7호선,뚝섬유원지,하차,1182,2211,3741
2020-01-30,7호선,뚝섬유원지,승차,3363,2335,1862
2020-01-30,7호선,뚝섬유원지,하차,1144,2359,3782
2020-01-31,7호선,뚝섬유원지,승차,3296,2312,1810
2020-01-31,7호선,뚝섬유원지,하차,1196,2143,3602
2020-02-01,7호선,뚝섬유원지,승차,1176,2509,1448
2020-02-01,7호선,뚝섬유원지,하차,640,2378,1999
2020-02-02,7호선,뚝섬유원지,승차,787,1999,1138
2020-02-02,7호선,뚝섬유원지,하차,387,1889,1513
2020-02-03,7호선,뚝섬유원지,승차,3363,1894,1496
2020-02-03,7호선,뚝섬유원지,하차,1161,1878,3580
2020-02-04,7호선,뚝섬유원지,승차,3393,2089,1523
2020-02-04,7호선,뚝섬유원지,하차,1202,2013,3624
2020-02-05,7호선,뚝섬유원지,승차,3236,1878,1470
2020-02-05,7호선,뚝섬유원지,하차,1151,1780,3462
2020-02-06,7호선,뚝섬유원지,승차,3193,1831,1491
2020-02-06,7호선,뚝섬유원지,하차,1120,1724,3469
2020-02-07,7호선,뚝섬유원지,승차,3216,2094,1772
2020-02-07,7호선,뚝섬유원지,하차,1159,2107,3578
2020-02-08,7호선,뚝섬유원지,승차,1153,2417,1385
2020-02-08,7호선,뚝섬유원지,하차,610,2375,1876
2020-02-09,7호선,뚝섬유원지,승차,760,1991,1143
2020-02-09,7호선,뚝섬유원지,하차,432,1797,1472
2020-02-10,7호선,뚝섬유원지,승차,3240,1876,1717
2020-02-10,7호선,뚝섬유원지,하차,1109,1904,3658
2020-02-11,7호선,뚝섬유원지,승차,3257,2218,2159
2020-02-11,7호선,뚝섬유원지,하차,1160,2386,3875
2020-02-12,7호선,뚝섬유원지,승차,3167,1860,1460
2020-02-12,7호선,뚝섬유원지,하차,1103,1655,3359
2020-02-13,7호선,뚝섬유원지,승차,3214,2133,1935
2020-02-13,7호선,뚝섬유원지,하차,1145,2078,3715
2020-02-14,7호선,뚝섬유원지,승차,3251,2283,2567
2020-02-14,7호선,뚝섬유원지,하차,1128,2406,4046
2020-02-15,7호선,뚝섬유원지,승차,1203,2720,1810
2020-02-15,7호선,뚝섬유원지,하차,577,2746,2154
2020-02-16,7호선,뚝섬유원지,승차,716,1846,959
2020-02-16,7호선,뚝섬유원지,하차,368,1607,1517
2020-02-17,7호선,뚝섬유원지,승차,3385,1864,1473
2020-02-17,7호선,뚝섬유원지,하차,1126,1701,3578
2020-02-18,7호선,뚝섬유원지,승차,3280,1922,1645
2020-02-18,7호선,뚝섬유원지,하차,1096,1817,3590
2020-02-19,7호선,뚝섬유원지,승차,3267,2143,1840
