지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간
PLT-005,뚝섬1주차장,273,22891.0,2024-11-10,2024,11,10,주말,83.84981684981685
PLT-005,뚝섬3주차장,686,62848.0,2024-11-10,2024,11,10,주말,91.61516034985422
PLT-005,뚝섬4주차장,864,79419.0,2024-11-10,2024,11,10,주말,91.92013888888889
PLT-005,뚝섬2주차장,965,108345.0,2024-11-10,2024,11,10,주말,112.27461139896373
PLT-005,뚝섬2주차장,850,91910.0,2024-11-09,2024,11,9,주말,108.12941176470588
PLT-005,뚝섬4주차장,856,91972.0,2024-11-09,2024,11,9,주말,107.44392523364486
PLT-005,뚝섬1주차장,300,24253.0,2024-11-09,2024,11,9,주말,80.84333333333333
PLT-005,뚝섬3주차장,649,64831.0,2024-11-09,2024,11,9,주말,99.89368258859784
PLT-005,뚝섬4주차장,584,59235.0,2024-11-08,2024,11,8,평일,101.42979452054794
PLT-005,뚝섬1주차장,186,13157.0,2024-11-08,2024,11,8,평일,70.73655913978494
PLT-005,뚝섬2주차장,512,59418.0,2024-11-08,2024,11,8,평일,116.05078125
PLT-005,뚝섬3주차장,295,26782.0,2024-11-08,2024,11,8,평일,90.7864406779661
PLT-005,뚝섬3주차장,260,31179.0,2024-11-07,2024,11,7,평일,119.91923076923077
PLT-005,뚝섬2주차장,459,61512.0,2024-11-07,2024,11,7,평일,134.01307189542484
PLT-005,뚝섬4주차장,563,67116.0,2024-11-07,2024,11,7,평일,119.2113676731794
PLT-005,뚝섬1주차장,174,14273.0,2024-11-07,2024,11,7,평일,82.02873563218391
PLT-005,뚝섬3주차장,277,27481.0,2024-11-06,2024,11,6,평일,99.20938628158845
PLT-005,뚝섬4주차장,519,57699.0,2024-11-06,2024,11,6,평일,111.17341040462428
PLT-005,뚝섬1주차장,171,12904.0,2024-11-06,2024,11,6,평일,75.46198830409357
PLT-005,뚝섬2주차장,416,57779.0,2024-11-06,2024,11,6,평일,138.89182692307693
PLT-005,뚝섬2주차장,468,69085.0,2024-11-05,2024,11,5,평일,147.61752136752136
PLT-005,뚝섬4주차장,530,60704.0,2024-11-05,2024,11,5,평일,114.53584905660378
PLT-005,뚝섬1주차장,170,12494.0,2024-11-05,2024,11,5,평일,73.49411764705883
PLT-005,뚝섬3주차장,256,30477.0,2024-11-05,2024,11,5,평일,119.05078125
PLT-005,뚝섬4주차장,504,51025.0,2024-11-04,2024,11,4,평일,101.24007936507937
PLT-005,뚝섬2주차장,503,66991.0,2024-11-04,2024,11,4,평일,133.18290258449304
PLT-005,뚝섬1주차장,186,16161.0,2024-11-04,2024,11,4,평일,86.88709677419355
PLT-005,뚝섬3주차장,260,22332.0,2024-11-04,2024,11,4,평일,85.8923076923077
PLT-005,뚝섬3주차장,809,103821.0,2024-11-03,2024,11,3,주말,128.33250927070458
PLT-005,뚝섬1주차장,403,37493.0,2024-11-03,2024,11,3,주말,93.0347394540943
PLT-005,뚝섬2주차장,1506,184479.0,2024-11-03,2024,11,3,주말,122.49601593625498
PLT-005,뚝섬4주차장,1083,106348.0,2024-11-03,2024,11,3,주말,98.19759926131117
PLT-005,뚝섬1주차장,369,39168.0,2024-11-02,2024,11,2,주말,106.14634146341463
PLT-005,뚝섬3주차장,553,87230.0,2024-11-02,2024,11,2,주말,157.7396021699819
PLT-005,뚝섬4주차장,841,96419.0,2024-11-02,2024,11,2,주말,114.64803804994055
PLT-005,뚝섬2주차장,1190,174936.0,2024-11-02,2024,11,2,주말,147.00504201680673
PLT-005,뚝섬3주차장,337,32175.0,2024-11-01,2024,11,1,평일,95.47477744807122
PLT-005,뚝섬4주차장,720,70295.0,2024-11-01,2024,11,1,평일,97.63194444444444
PLT-005,뚝섬2주차장,678,78023.0,2024-11-01,2024,11,1,평일,115.07817109144543
PLT-005,뚝섬1주차장,290,28822.0,2024-11-01,2024,11,1,평일,99.38620689655173
PLT-005,뚝섬2주차장,566,65326.0,2024-10-31,2024,10,31,평일,115.41696113074205
PLT-005,뚝섬3주차장,335,29321.0,2024-10-31,2024,10,31,평일,87.52537313432836
PLT-005,뚝섬4주차장,669,73696.0,2024-10-31,2024,10,31,평일,110.15844544095665
PLT-005,뚝섬1주차장,192,16244.0,2024-10-31,2024,10,31,평일,84.60416666666667
PLT-005,뚝섬3주차장,320,28318.0,2024-10-30,2024,10,30,평일,88.49375
PLT-005,뚝섬2주차장,620,76899.0,2024-10-30,2024,10,30,평일,124.03064516129032
PLT-005,뚝섬4주차장,664,79156.0,2024-10-30,2024,10,30,평일,119.21084337349397
PLT-005,뚝섬1주차장,267,24048.0,2024-10-30,2024,10,30,평일,90.06741573033707
PLT-005,뚝섬1주차장,214,14039.0,2024-10-29,2024,10,29,평일,65.60280373831776
