지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간,평균기온,최저기온,최저기온 시각(hhmi),최고기온,최고기온 시각(hhmi),평균 상대습도(%)
PLT-005,뚝섬2주차장,518,54850.0,2024-02-29,2024,2,29,0,105.88803088803088,4.8,0.3,2400.0,9.6,1539,63.6
PLT-005,뚝섬1주차장,175,10098.0,2024-02-29,2024,2,29,0,57.70285714285714,4.8,0.3,2400.0,9.6,1539,63.6
PLT-005,뚝섬3주차장,260,20227.0,2024-02-29,2024,2,29,0,77.79615384615384,4.8,0.3,2400.0,9.6,1539,63.6
PLT-005,뚝섬4주차장,526,54791.0,2024-02-29,2024,2,29,0,104.16539923954372,4.8,0.3,2400.0,9.6,1539,63.6
PLT-005,뚝섬3주차장,195,17464.0,2024-02-28,2024,2,28,0,89.55897435897435,6.4,3.2,712.0,10.1,1509,59.5
PLT-005,뚝섬2주차장,488,58616.0,2024-02-28,2024,2,28,0,120.11475409836063,6.4,3.2,712.0,10.1,1509,59.5
PLT-005,뚝섬4주차장,524,60552.0,2024-02-28,2024,2,28,0,115.55725190839696,6.4,3.2,712.0,10.1,1509,59.5
PLT-005,뚝섬1주차장,191,13356.0,2024-02-28,2024,2,28,0,69.92670157068063,6.4,3.2,712.0,10.1,1509,59.5
PLT-005,뚝섬4주차장,519,66605.0,2024-02-27,2024,2,27,0,128.33333333333334,5.3,1.2,607.0,9.8,1510,52.0
PLT-005,뚝섬2주차장,511,58955.0,2024-02-27,2024,2,27,0,115.37181996086106,5.3,1.2,607.0,9.8,1510,52.0
PLT-005,뚝섬1주차장,176,13270.0,2024-02-27,2024,2,27,0,75.39772727272727,5.3,1.2,607.0,9.8,1510,52.0
PLT-005,뚝섬3주차장,222,17810.0,2024-02-27,2024,2,27,0,80.22522522522523,5.3,1.2,607.0,9.8,1510,52.0
PLT-005,뚝섬1주차장,165,11144.0,2024-02-26,2024,2,26,0,67.53939393939395,3.8,-1.2,656.0,9.7,1414,65.3
