주차장명,주차대수,이용시간,날짜,주차구획수,연도,월,일,요일,휴일여부,도로명,년도,아침 주차대수,낮 주차대수,저녁 주차대수,아침 이용시간,낮 이용시간,저녁 이용시간,예측 이용시간,아침 혼잡도,낮 혼잡도,저녁 혼잡도
뚝섬2주차장,983,110473,2024-09-30,356,2024,9,30,0,0,영동대교,2024,203.07,422.79,357.14,22821.721373346896,47514.62835198372,40136.65027466938,96228.24,보통,만차,혼잡
뚝섬2주차장,983,110473,2024-09-30,356,2024,9,30,0,0,청담대교,2024,275.11,403.6,304.29,30917.83014242116,45357.988606307226,34197.18125127162,96228.24,보통,만차,혼잡
뚝섬4주차장,953,94018,2024-09-30,136,2024,9,30,0,0,영동대교,2024,196.87,409.88,346.24,19422.369237872383,40437.0432428462,34158.58751928142,90407.92,만차,만차,만차
뚝섬4주차장,953,94018,2024-09-30,136,2024,9,30,0,0,청담대교,2024,266.72,391.28,295.0,26313.201427072407,38601.64012591815,29103.158447009446,90407.92,만차,만차,만차
뚝섬1주차장,256,21880,2024-09-30,67,2024,9,30,0,0,영동대교,2024,52.89,110.11,93.01,4520.265614624429,9410.59646107574,7949.137924299833,21039.69,혼잡,만차,만차
뚝섬1주차장,256,21880,2024-09-30,67,2024,9,30,0,0,청담대교,2024,71.65,105.11,79.24,6123.835937500001,8983.6203125,6772.54375,21039.69,혼잡,만차,만차
뚝섬3주차장,620,58185,2024-09-30,112,2024,9,30,0,0,영동대교,2024,128.08,266.66,225.26,12019.894838709679,25025.180806451615,21139.92435483871,58534.47,만차,만차,만차
뚝섬3주차장,620,58185,2024-09-30,112,2024,9,30,0,0,청담대교,2024,173.52,254.56,191.92,16284.292258064515,23889.634838709677,18011.072903225806,58534.47,만차,만차,만차
뚝섬4주차장,1134,131106,2024-09-29,136,2024,9,29,6,1,청담대교,2024,275.67,491.46,366.86,31871.52533972963,56820.03788393196,42414.43677633842,124152.83,만차,만차,만차
뚝섬4주차장,1134,131106,2024-09-29,136,2024,9,29,6,1,영동대교,2024,217.17,526.95,389.88,25107.83952380952,60922.66904761905,45075.491428571426,124152.83,만차,만차,만차
뚝섬1주차장,460,46313,2024-09-29,67,2024,9,29,6,1,청담대교,2024,111.83,199.36,148.82,11258.848264168171,20071.215147496798,14982.936588335037,44815.26,만차,만차,만차
