주차장명,월,휴일여부,평균기온,최저기온,최고기온,영동_아침주차,영동_낮주차,영동_저녁주차,영동_아침이용,영동_낮이용,영동_저녁이용,요일,총 주차 대수,년도,아침 이용시간 예측,낮 이용시간 예측,저녁 이용시간 예측,아침 혼잡도,낮 혼잡도,저녁 혼잡도
뚝섬2주차장,2,0,4.8,0.3,9.6,97.50129143349115,222.28138900846605,198.21731955804276,10324.219758932411,23536.93858516286,20988.841655904722,3,356,2024,11211.416,25226.863,21860.906,여유,보통,보통
뚝섬1주차장,2,0,4.8,0.3,9.6,32.939625484287546,75.0950638542115,66.96531066150094,1900.710503659061,4333.199741713302,3864.0897546276365,3,67,2024,1933.8927,4521.0015,4397.18,보통,만차,만차
뚝섬3주차장,2,0,4.8,0.3,9.6,48.93887214808436,111.56980915482852,99.4913186970871,3807.2560266896244,8679.702037595063,7740.0419357153105,3,112,2024,3244.792,7116.5454,7129.5415,여유,혼잡,혼잡
뚝섬4주차장,2,0,4.8,0.3,9.6,99.00710288420143,225.71430621323,201.2785909025685,10313.114399483424,23511.620820777727,20966.26477973884,3,136,2024,10042.624,22253.47,19578.65,보통,만차,만차
뚝섬3주차장,2,0,6.4,3.2,10.1,39.0416151858924,84.1721891497248,71.78619566438277,3496.527013366281,7538.374929798943,6429.098056834773,2,112,2024,3397.8022,7598.5566,6442.906,여유,보통,보통
뚝섬2주차장,2,0,6.4,3.2,10.1,97.70414467033584,210.64629900033694,179.64955632932717,11735.709311468045,25301.728406155227,21578.562282376723,2,356,2024,12148.574,25970.715,22637.254,여유,보통,보통
뚝섬4주차장,2,0,6.4,3.2,10.1,104.91182747388521,226.18578007413228,192.90239245198245,12123.322475570032,26137.407166123776,22291.270358306185,2,136,2024,10944.019,24833.26,21445.326,보통,만차,만차
뚝섬1주차장,2,0,6.4,3.2,10.1,38.24076154105358,82.44558014152533,70.31365831742109,2674.0503201168144,5765.147478378074,4916.80220150511,2,67,2024,2553.6294,5725.9424,4430.322,보통,만차,혼잡
뚝섬4주차장,2,0,5.3,1.2,9.8,102.92289411143382,225.31636425364968,190.7607416349164,13208.438077634008,28915.600079218373,24480.961843147605,1,136,2024,10454.365,21425.225,18948.88,혼잡,만차,만차
뚝섬2주차장,2,0,5.3,1.2,9.8,101.33641404805913,221.84327964087666,187.82030631106414,11691.366517031947,25594.462918254172,21669.170564713866,1,356,2024,12305.685,26631.896,22420.299,여유,보통,보통
뚝섬1주차장,2,0,5.3,1.2,9.8,34.902561394243456,76.40786148100644,64.68957712475007,2631.5738051227877,5760.979101437247,4877.447093439963,1,67,2024,2322.9397,5574.4956,4541.0938,보통,만차,혼잡
뚝섬3주차장,2,0,5.3,1.2,9.8,44.024821758647995,96.3780980044513,81.59708023690067,3531.9012410879313,7731.954619185935,6546.14413972613,1,112,2024,3405.9,7583.388,6575.3506,여유,혼잡,보통
뚝섬1주차장,2,0,3.8,-1.2,9.7,33.09119621002764,73.8265890248717,58.08221476510066,2234.9593367548364,4986.203079352546,3922.8375838926167,0,67,2024,2493.295,6269.3887,4942.182,여유,만차,혼잡
뚝섬2주차장,2,0,3.8,-1.2,9.7,105.08961705487565,234.4553493880774,184.45503355704696,13895.093564942756,31000.008448480065,24388.897986577176,0,356,2024,12992.209,28657.928,23265.604,여유,보통,보통
