지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),일강수량(mm),평균 상대습도(%)
108,서울,2018-01-31,-2.6,-5.2,2354,0,1610,.67,0,54.5
108,서울,2018-02-01,-4,-8.8,644,1.2,1601,,,44.1
108,서울,2018-02-02,-2.4,-7.6,723,3.8,1440,,,51.1
108,서울,2018-02-03,-7.3,-10.4,2347,-2.1,17,3.83,.5,47
108,서울,2018-02-04,-9.5,-12.8,753,-5.2,1607,,,40.9
108,서울,2018-02-05,-9.4,-11.8,404,-5.1,1609,,,37.8
108,서울,2018-02-06,-10.1,-12.8,745,-5.8,1516,,,36.5
108,서울,2018-02-07,-8,-13.4,650,-1.6,1547,,,39.8
108,서울,2018-02-08,-4.4,-9.7,722,2,1548,,,43.3
108,서울,2018-02-09,.4,-5.3,227,6.1,1549,,,43.9
108,서울,2018-02-10,-.5,-6.9,2327,3.2,1131,,,47.4
108,서울,2018-02-11,-6.1,-9.5,722,-2.2,1350,1,0,42.5
108,서울,2018-02-12,-5.8,-9.6,538,-1.8,1422,2.17,0,40.8
108,서울,2018-02-13,-.8,-7.4,715,4.3,1521,,,54.5
108,서울,2018-02-14,3.5,-.7,2352,8.7,1459,,,51
108,서울,2018-02-15,-.7,-3.7,850,4,1448,,,28
108,서울,2018-02-16,-1.1,-5.5,741,4.9,1419,,,40.1
108,서울,2018-02-17,-3,-7.1,734,1.4,1601,,,25.6
108,서울,2018-02-18,-.4,-4.9,729,5.2,1450,,,26.9
108,서울,2018-02-19,1.8,-1.9,347,6.8,1526,,,48.6
108,서울,2018-02-20,.9,-2.4,646,5.5,1445,,,41
108,서울,2018-02-21,-.9,-4.5,814,4.4,1503,,,31.5
108,서울,2018-02-22,1.3,-3.9,725,5.4,1212,.67,.4,59
108,서울,2018-02-23,4.2,-.3,730,8.6,1431,2.75,3.7,81.1
108,서울,2018-02-24,2.4,-1.1,2359,7.2,1446,,,49.4
108,서울,2018-02-25,1.9,-1.6,213,7.9,1515,,,40.6
108,서울,2018-02-26,3.1,-3.2,714,10.4,1516,,,43.1
108,서울,2018-02-27,4.2,.6,450,6.9,1554,,,48.8
108,서울,2018-02-28,4.6,1.8,2246,7.8,1230,11.25,25,73.3
108,서울,2018-03-01,-.2,-4.3,2341,3,547,4.25,.5,61.9
108,서울,2018-03-02,-.7,-6.7,625,5.4,1608,,,34
108,서울,2018-03-03,7.9,-.1,725,16.2,1515,1.17,0,38.1
108,서울,2018-03-04,9.8,7.6,2359,11.9,1627,13.75,11.5,89.1
108,서울,2018-03-05,5.5,1.3,2353,11.4,1622,9.92,3.5,67.5
108,서울,2018-03-06,4.5,-1.1,625,10.9,1546,,,46.8
108,서울,2018-03-07,6.4,2.2,650,10.7,1614,3.5,.5,54
108,서울,2018-03-08,4.6,2.7,2216,9.7,1558,10.25,4,76
108,서울,2018-03-09,4.5,1.4,720,9.6,1600,,,63.3
108,서울,2018-03-10,4.6,.7,708,9.7,1406,,,65.8
108,서울,2018-03-11,6.4,2.7,731,12.2,1537,,,51.3
108,서울,2018-03-12,8,2.2,248,15.5,1455,,,45.8
108,서울,2018-03-13,12.4,5.2,224,18.8,1423,,,60.5
108,서울,2018-03-14,17,13.6,1,22.1,1505,,,58.8
108,서울,2018-03-15,12.4,8.4,2356,16.6,247,13.5,27,92.1
108,서울,2018-03-16,7.1,3.6,710,12.2,1520,,,46.9
108,서울,2018-03-17,6.6,.5,657,14,1543,,,48
108,서울,2018-03-18,8.2,5.4,301,12.5,1542,7.42,.5,55.9
108,서울,2018-03-19,8,6.2,419,10.4,1117,13.5,1,64.5
108,서울,2018-03-20,4.7,1.6,2335,9.1,1158,,,39.9
108,서울,2018-03-21,2.1,1.1,2033,5.3,1120,8.33,1,64.1
108,서울,2018-03-22,4.9,.6,637,11.6,1410,,,61.5
108,서울,2018-03-23,6.1,1.8,239,12.5,1407,,,55.3
108,서울,2018-03-24,7.6,4,640,13.1,1416,,,61.9
108,서울,2018-03-25,9.6,4.6,555,16.9,1447,,,65.6
108,서울,2018-03-26,11,5.3,224,18.1,1453,,,64.5
108,서울,2018-03-27,13.3,7.7,411,20,1549,,,61.1
108,서울,2018-03-28,14,9.4,612,19,1419,,,66.4
108,서울,2018-03-29,15.4,11.8,2358,21.1,1451,,,66.3
108,서울,2018-03-30,14.8,9.8,347,21.9,1457,,,55.6
108,서울,2018-03-31,14,9.3,608,20.1,1358,,,52.9
108,서울,2018-04-01,15.6,11.7,45,18.5,1548,,,68.8
108,서울,2018-04-02,18.4,14.9,548,23.7,1459,,,64
108,서울,2018-04-03,17.8,14.9,2302,21.2,1409,2.92,.1,72.9
108,서울,2018-04-04,13.4,9.5,2356,18.2,1430,6.5,18.5,67
108,서울,2018-04-05,7.6,6.7,751,9.5,1,19.67,10.5,90.6
108,서울,2018-04-06,5.8,3,2400,8.6,1022,5.42,6.5,71.6
108,서울,2018-04-07,4.2,1.4,224,8.6,1341,2.58,.2,45.5
108,서울,2018-04-08,3.9,.6,638,7.9,1353,6.5,3,59.6
108,서울,2018-04-09,7.9,.1,555,15.4,1616,,,57.9
108,서울,2018-04-10,15.1,6.9,511,21.9,1245,2.58,5,51
108,서울,2018-04-11,12.6,8.7,648,17.3,1526,,,49.4
108,서울,2018-04-12,13.3,6.8,539,19.6,1535,,,30.5
108,서울,2018-04-13,14.6,8.3,556,19.3,1230,,,22.9
108,서울,2018-04-14,9,7.5,826,14.8,1,13.33,9,78.8
108,서울,2018-04-15,9.5,5.6,519,14.2,1424,,,65.5
108,서울,2018-04-16,11.6,4.9,623,18.8,1543,,,41.9
108,서울,2018-04-17,12.9,6.8,612,20.1,1424,,,37.9
108,서울,2018-04-18,12.4,6.2,540,19.3,1441,,,35.4
108,서울,2018-04-19,14,7.4,608,20.5,1359,,,38.8
108,서울,2018-04-20,18.4,11,627,26.3,1430,,,46
108,서울,2018-04-21,18.7,12.3,559,25.6,1341,,,32
108,서울,2018-04-22,15.5,10.7,2400,21,1417,14.5,15.5,57.4
108,서울,2018-04-23,9.3,8.4,858,10.7,1,23.42,59,93.9
108,서울,2018-04-24,12.1,8.9,2357,16.1,1308,5.75,3,63.3
108,서울,2018-04-25,14.6,5.7,528,23.3,1552,,,37.8
108,서울,2018-04-26,14.9,10,527,22.1,1414,,,51.9
108,서울,2018-04-27,15.7,9.7,521,23.3,1516,,,52.9
108,서울,2018-04-28,15.4,10.5,554,21.7,1324,,,49
108,서울,2018-04-29,16.2,9.4,606,22.9,1508,,,43.1
108,서울,2018-04-30,19.2,14.1,149,25,1607,,,61.6
108,서울,2018-05-01,20.4,17.8,542,23.3,1318,1.42,0,72.8
108,서울,2018-05-02,15.1,8.7,2355,19.7,1,14.83,12,90.4
