지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),일강수량(mm),평균 이슬점온도(°C),평균 상대습도(%)
108,서울,2020-01-14,-2.3,-5.7,637,2.6,1413,,,-13,45.3
108,서울,2020-01-15,-2.7,-6.4,722,2.2,1510,,,-13.4,44.8
108,서울,2020-01-16,-1.7,-5.5,816,3.2,1430,,,-13,43
108,서울,2020-01-17,-.6,-4.8,720,4.9,1449,,,-11.7,43.9
108,서울,2020-01-18,.3,-4.1,802,5.9,1503,,,-10,48.1
108,서울,2020-01-19,1.9,-.4,3,5.3,1510,1.58,.6,-4.5,62.8
108,서울,2020-01-20,.7,-3.3,2324,5.5,1313,,,-9.7,46.8
108,서울,2020-01-21,-.4,-5.6,800,5.5,1541,,,-13.9,36.9
108,서울,2020-01-22,3,-.1,47,7.8,1447,,,-10.9,36
108,서울,2020-01-23,4.6,0,802,9.9,1450,,,-5.4,49.3
108,서울,2020-01-24,2.8,-1.3,816,7.4,1534,,,-3.7,63
108,서울,2020-01-25,4.3,.6,251,8.8,1202,,,-2.2,63.1
108,서울,2020-01-26,5.5,-.2,747,11.9,1516,,,-3.2,56.3
108,서울,2020-01-27,5.9,4.8,2331,7.5,1418,6.92,.1,-4.5,48.1
108,서울,2020-01-28,6.8,4.3,231,9.9,1442,2.67,0,-3.3,49.4
108,서울,2020-01-29,6,3.2,708,9.6,1450,,,-4.8,46.4
108,서울,2020-01-30,5.2,1.4,814,10.4,1249,,,-5.4,47
108,서울,2020-01-31,3.9,1.4,2357,8.9,1347,.17,0,-3.3,59.6
108,서울,2020-02-01,2.6,-1.2,705,7.6,1556,,,-3.2,66.6
108,서울,2020-02-02,1.5,-2.1,747,5.3,1309,,,-7.8,52.3
108,서울,2020-02-03,-.4,-2.9,2357,3,1456,3.08,0,-11.8,43.6
108,서울,2020-02-04,-1.6,-6,635,3.9,1429,7.25,1.7,-11,50.3
108,서울,2020-02-05,-8.3,-11,757,-4.9,1601,,,-20.4,37.3
108,서울,2020-02-06,-6.4,-11.8,634,.4,1433,,,-19.2,36.4
108,서울,2020-02-07,-1.7,-7.2,123,2.2,1533,.58,0,-12.9,45.1
108,서울,2020-02-08,-.1,-2.3,803,3.7,1611,.17,0,-10.1,48.1
108,서울,2020-02-09,-.5,-5.6,742,4.1,1447,.08,0,-9.8,51.1
108,서울,2020-02-10,4,-.7,646,9.6,1500,.92,0,-6.5,49.4
108,서울,2020-02-11,6.8,-.5,711,14.6,1526,,,-7.9,37
108,서울,2020-02-12,7.4,6.5,1219,8.2,1928,20.58,6.7,2.1,73.4
108,서울,2020-02-13,6.5,4.9,656,8.7,1534,,,4,84.8
108,서울,2020-02-14,8.1,3.2,708,14.7,1631,,,2.5,70.3
108,서울,2020-02-15,9.8,6.2,735,15.6,1250,4.25,2,2.4,63
