,지구별,주차장명,주차대수,이용시간,날짜,주차구획수,연도,월,일,요일,휴일여부,아침 주차대수,낮 주차대수,저녁 주차대수,아침 이용시간,낮 이용시간,저녁 이용시간
0,PLT-008,여의도3주차장,1558,407428,2024-09-30,785,2024,9,30,0,0,458.58,580.34,519.08,119921.90772785622,151763.007394095,135743.0848780488
1,PLT-008,여의도5주차장,377,102587,2024-09-30,141,2024,9,30,0,0,110.96,140.43,125.61,30193.775915119364,38212.977214854116,34180.24687002652
2,PLT-008,여의도2주차장,2381,201372,2024-09-30,176,2024,9,30,0,0,700.81,886.91,793.28,59270.689340613186,75010.01281814363,67091.29784124317
3,PLT-008,여의도1주차장,3041,450979,2024-09-30,462,2024,9,30,0,0,895.08,1132.75,1013.17,132739.98136139428,167986.34075961856,150252.67787898716
4,PLT-008,여의도4주차장,203,69947,2024-09-30,218,2024,9,30,0,0,59.75,75.62,67.63,20587.84852216749,26056.11891625616,23303.032561576354
5,PLT-008,여의도1주차장,3699,461180,2024-09-29,462,2024,9,29,6,1,909.9,1521.93,1267.17,113443.54744525548,189749.57485806977,157986.87769667478
6,PLT-008,여의도3주차장,3936,571817,2024-09-29,785,2024,9,29,6,1,968.2,1619.44,1348.36,140658.84639227643,235270.1530691057,195888.00053861787
7,PLT-008,여의도4주차장,91,6363,2024-09-29,218,2024,9,29,6,1,22.38,37.44,31.17,1565.0504451038576,2618.207715133531,2179.7418397626116
8,PLT-008,여의도5주차장,392,33369,2024-09-29,141,2024,9,29,6,1,96.43,161.29,134.29,8208.394352184894,13729.461008647739,11431.144639167367
9,PLT-008,여의도2주차장,2596,145249,2024-09-29,176,2024,9,29,6,1,638.58,1068.11,889.31,35729.23976117103,59761.90654468413,49757.85369414484
10,PLT-008,여의도2주차장,2971,139541,2024-09-28,176,2024,9,28,5,1,795.12,1119.45,1056.43,37344.94780208684,52577.97793672165,49618.07426119152
11,PLT-008,여의도5주차장,379,40039,2024-09-28,141,2024,9,28,5,1,101.43,142.8,134.77,10715.450580474935,15085.9345646438,14237.614854881267
12,PLT-008,여의도4주차장,87,6794,2024-09-28,218,2024,9,28,5,1,23.28,32.78,30.94,1817.9806896551725,2559.8542528735634,2416.165057471265
13,PLT-008,여의도3주차장,3301,424072,2024-09-28,785,2024,9,28,5,1,883.43,1243.79,1173.77,113492.59675430704,159787.3707221167,150792.03252357626
14,PLT-008,여의도1주차장,3958,502501,2024-09-28,462,2024,9,28,5,1,1059.27,1491.34,1407.39,134483.13144770087,189338.0094340576,178679.85911824155
15,PLT-008,여의도5주차장,361,99190,2024-09-27,141,2024,9,27,4,0,103.93,135.79,121.29,28555.487936622256,37309.24378826071,33325.268275117036
16,PLT-008,여의도3주차장,1648,380196,2024-09-27,785,2024,9,27,4,0,474.44,619.87,553.69,109453.99893203883,143004.91172330096,127737.08934466021
17,PLT-008,여의도4주차장,201,58056,2024-09-27,218,2024,9,27,4,0,57.87,75.6,67.53,16714.92895522388,21835.988059701493,19505.082985074627
18,PLT-008,여의도2주차장,2920,209280,2024-09-27,176,2024,9,27,4,0,840.63,1098.32,981.05,60248.98849315069,78717.94849315067,70313.06301369863
19,PLT-008,여의도1주차장,3236,438937,2024-09-27,462,2024,9,27,4,0,931.6,1217.18,1087.21,126364.33029768323,165101.04717876136,147471.6225235554
20,PLT-008,여의도4주차장,181,59987,2024-09-26,218,2024,9,26,3,0,51.79,68.47,60.74,17164.236077348065,22692.319834254144,20130.44408839779
21,PLT-008,여의도2주차장,2306,203583,2024-09-26,176,2024,9,26,3,0,659.81,872.3,773.89,58250.69350823937,77010.16951431049,68322.13697745012
22,PLT-008,여의도3주차장,1330,370400,2024-09-26,785,2024,9,26,3,0,380.55,503.1,446.35,105981.74436090226,140111.45864661655,124306.7969924812
23,PLT-008,여의도1주차장,2569,390028,2024-09-26,462,2024,9,26,3,0,735.06,971.78,862.15,111597.9360293345,147537.1293154119,130892.93465525362
24,PLT-008,여의도5주차장,406,114290,2024-09-26,141,2024,9,26,3,0,116.17,153.58,136.25,32702.141133004927,43233.14827586208,38354.71059113301
