"현황 일련번호","공원 코드","공원명","공원 시명","공원 구명","공원 지번 주소","공원 도로명 주소","등록자 일련번호","등록 일시","수정자 일련번호","수정 일시","일반이용자(아침)","일반이용자(낮)","일반이용자(저녁)","자전거","인라인","pm(개인형이동장치)","주요행사","마라톤","운동시설","야구장","론볼링장","트랙구장","롤러장","자전거공원","외국인","수상시설","수영장/물놀이장","빙상장/눈설매장","전망쉼터","캠핑장","자연학습장","음악분수","키즈랜드","장미원","x게임장","자벌레","달빛무지개","세빛섬","수상무대","계절,녹음수광장","천상계단","피아노물길","멀티프라자","서울색공원","물빛광장","너플들판테라스","골프장","여의도샛강","여의도시민 요트나루","평화공원브릿지","거울분수","강변물놀이장","강변프롬나드","난지 하늘다리","갈대숲탐장로","꿀벌숲","치유의숲","그라스정원","노들섬","습지생태공원","현황 일시"
"87623","Hzone001","광나루한강공원","서울","강동구","암사동 637-6","선사로 83-106","83","2024-03-08 10:40:48.0","","","2840","33780","25450","28680","41","66","0","0","14570","905","0","0","100","6348","53","0","0","0","0","0","6610","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87629","Hzone006","이촌한강공원","서울","용산구","이촌동 302-17","이촌로72길 62","83","2024-03-08 14:14:33.0","","","5145","47990","37857","74775","0","446","0","1550","28691","0","0","0","0","0","5440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19198","0","2024-02-29 00:00:00.0"
"87626","Hzone003","뚝섬한강공원","서울","광진구","자양동 427-1","강변북로 2273","83","2024-03-08 11:29:41.0","83","2024-03-08 11:32:09.0","13100","167450","187420","63060","1287","1545","5700","12415","179790","0","0","0","0","0","2848","470","0","13900","0","0","0","4185","2700","44990","3990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87625","Hzone002","잠실한강공원","서울","송파구","잠실동 1-1","한가람로 65","83","2024-03-08 10:44:40.0","","","9820","41340","49010","96645","155","165","0","16300","12920","0","658","0","0","0","1319","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87631","Hzone008","양화한강공원","서울","영등포구","당산동 98-1","노들로 221","83","2024-03-08 14:40:51.0","","","11150","33940","32050","60884","0","1808","0","22253","27876","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87633","Hzone010","망원한강공원","서울","마포구","망원동 205-4","마포나루길 467","83","2024-03-08 15:08:42.0","","","12510","20520","58457","54670","2706","2822","0","27751","38733","995","0","0","0","0","4639","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87628","Hzone005","반포한강공원","서울","서초구","반포동 115-5","신반포로11길 40","83","2024-03-08 13:58:43.0","","","20965","102300","146595","175053","377","149","0","6377","17474","0","0","0","0","0","5219","0","0","0","0","0","0","0","0","0","0","0","29140","110408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87627","Hzone004","잠원한강공원","서울","강남구","압구정동 386-1","강남대로 708","83","2024-03-08 13:56:33.0","","","29360","29720","7220","46194","155","0","0","13653","18465","0","0","18680","0","0","5321","21","7390","0","14855","8060","8445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5315","9380","21285","0","0","2024-02-29 00:00:00.0"
"87635","Hzone011","강서한강공원","서울","강서구","방화동 47","양천로27길 279-23","83","2024-03-08 15:19:07.0","","","3966","15103","4355","66551","219","504","3400","8226","5561","0","0","0","0","0","303","0","0","0","3422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7532","2024-02-29 00:00:00.0"
"87630","Hzone007","여의도한강공원","서울","영등포구","여의도동 85-1","여의동로 280","83","2024-03-08 14:18:31.0","","","3150","23920","29360","22350","0","0","0","21210","12125","0","0","0","0","0","6075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13525","450","9720","20795","6685","7685","7740","0","29200","0","0","0","0","0","0","0","0","0","0","0","0","2024-02-29 00:00:00.0"
"87632","Hzone009","난지한강공원","서울","마포구","상암동 495-81","한강난지로 22","83","2024-03-08 15:04:38.0","83","2024-03-08 15:05:35.0","5637","13579","18300","27046","411","552","0","7465","11425","284","0","0","0","6617","1869","963","0","0","0","5783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11215","10542","4","9157","9500","8432","0","0","0","0","0","2024-02-29 00:00:00.0"
"87615","Hzone005","반포한강공원","서울","서초구","반포동 115-5","신반포로11길 40","83","2024-02-13 10:27:00.0","","","12700","38150","22055","39605","284","37","0","2150","9485","0","0","0","0","0","2121","0","0","0","0","0","0","0","0","0","0","0","3720","21981","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-01-31 00:00:00.0"
"87614","Hzone004","잠원한강공원","서울","강남구","압구정동 386-1","강남대로 708","83","2024-02-13 10:16:13.0","","","28270","41670","5731","23573","80","0","0","11015","15212","0","0","17023","0","0","5429","93","0","30905","15339","0","8855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5791","9498","12605","0","0","2024-01-31 00:00:00.0"
