구분,일반이용자,자전거,인라인,PM(개인형이동장치),마라톤,주요행사,운동시설 통,기타,특화공원,합계
광나루,119810.0,65319.0,72.0,0.0,1099.0,0.0,84756.0,2230.0,0.0,273286.0
잠실,111660.0,105695.0,0.0,0.0,500.0,2500.0,63610.0,3542.0,0.0,287507.0
뚝섬,623700.0,168100.0,0.0,0.0,27442.0,1500.0,111170.0,47126.0,159204.0,1138242.0
잠원,74545.0,37610.0,0.0,0.0,1079.0,0.0,54281.0,2218.0,0.0,169733.0
반포,160933.0,85129.0,165.0,0.0,7583.0,0.0,41995.0,3204.0,74282.0,373291.0
이촌,78360.0,55200.0,170.0,0.0,1160.0,0.0,59120.0,3630.0,0.0,197640.0
여의도,231620.0,49190.0,410.0,0.0,13380.0,1200.0,36215.0,31135.0,325680.0,688830.0
양화,60044.0,36339.0,10.0,0.0,917.0,0.0,16215.0,392.0,0.0,113917.0
난지,148990.0,80320.0,0.0,0.0,2100.0,0.0,11420.0,1327.0,0.0,244157.0
망원,71119.0,60658.0,268.0,0.0,2608.0,0.0,26919.0,1003.0,0.0,162575.0
강서,48733.0,54027.0,89.0,0.0,470.0,0.0,24253.0,382.0,0.0,127954.0
광나루,119325.0,62433.0,113.0,0.0,667.0,0.0,72182.0,821.0,0.0,255541.0
잠실,105805.0,90981.0,0.0,0.0,0.0,0.0,57745.0,3068.0,0.0,257599.0
뚝섬,559290.0,163710.0,0.0,0.0,24885.0,0.0,101880.0,32135.0,154010.0,1035910.0
잠원,66495.0,41873.0,0.0,0.0,1188.0,0.0,53221.0,2093.0,0.0,164870.0
반포,145506.0,67920.0,140.0,0.0,8130.0,0.0,34552.0,3218.0,71098.0,330564.0
이촌,78040.0,57560.0,320.0,0.0,1320.0,1290.0,56480.0,3480.0,0.0,198490.0
여의도,107275.0,48910.0,1470.0,0.0,14920.0,0.0,28710.0,34405.0,272120.0,507810.0
양화,53470.0,35864.0,18.0,0.0,902.0,0.0,17282.0,364.0,0.0,107900.0
난지,140530.0,80220.0,0.0,0.0,6155.0,3000.0,12565.0,2191.0,0.0,244661.0
망원,70460.0,57524.0,176.0,0.0,6433.0,0.0,31446.0,1207.0,0.0,167246.0
강서,51180.0,56222.0,72.0,0.0,927.0,0.0,27209.0,400.0,0.0,136010.0
광나루,176105.0,112501.0,455.0,0.0,3416.0,3310.0,115850.0,538.0,0.0,412175.0
잠실,125070.0,129495.0,0.0,0.0,940.0,2000.0,69485.0,0.0,0.0,326990.0
뚝섬,714660.0,274390.0,0.0,0.0,35485.0,0.0,158730.0,37210.0,217000.0,1437475.0
잠원,88920.0,53544.0,0.0,0.0,1152.0,0.0,84672.0,3315.0,0.0,231603.0
반포,359041.0,107689.0,370.0,0.0,15232.0,0.0,51510.0,4681.0,89648.0,628171.0
이촌,107990.0,82960.0,520.0,0.0,3040.0,0.0,75050.0,5440.0,0.0,275000.0
여의도,251152.0,80911.0,1889.0,0.0,16932.0,12880.0,43784.0,65004.0,550408.0,1022960.0
양화,77769.0,61042.0,139.0,0.0,1215.0,0.0,25916.0,597.0,0.0,166678.0
난지,161145.0,72835.0,0.0,0.0,4755.0,0.0,0.0,4661.0,0.0,243396.0
망원,116677.0,98314.0,409.0,0.0,6211.0,0.0,46081.0,0.0,0.0,267692.0
강서,69065.0,101245.0,345.0,0.0,1641.0,0.0,42311.0,695.0,0.0,215302.0
광나루,136580.0,105514.0,584.0,0.0,4517.0,4000.0,102828.0,3102.0,0.0,357125.0
잠실,125360.0,136970.0,70.0,0.0,3000.0,2518.0,64380.0,3513.0,0.0,335811.0
뚝섬,710200.0,271810.0,0.0,0.0,24305.0,1200.0,161290.0,43840.0,251167.0,1463812.0
잠원,86159.0,54942.0,7.0,0.0,0.0,0.0,34569.0,3399.0,0.0,179076.0
반포,309925.0,111095.0,625.0,0.0,7446.0,6000.0,45111.0,6947.0,88706.0,575855.0
이촌,103830.0,72360.0,470.0,0.0,1900.0,5370.0,78220.0,5220.0,0.0,267370.0
여의도,2912020.0,213290.0,4030.0,0.0,20700.0,23260.0,50225.0,125740.0,1920925.0,5270190.0
양화,90828.0,71112.0,204.0,0.0,1315.0,0.0,26481.0,829.0,0.0,190769.0
난지,184255.0,90200.0,0.0,0.0,2830.0,55200.0,10775.0,24949.0,0.0,368209.0
망원,147413.0,117825.0,689.0,0.0,13832.0,0.0,37757.0,0.0,0.0,317516.0
강서,71810.0,97422.0,316.0,0.0,2574.0,6.0,40272.0,546.0,0.0,212946.0
광나루,158204.0,115382.0,211.0,0.0,11527.0,0.0,107236.0,5615.0,0.0,398175.0
잠실,143235.0,146804.0,51.0,0.0,8000.0,400.0,72295.0,3479.0,0.0,374264.0
뚝섬,815080.0,225420.0,0.0,0.0,34633.0,4350.0,156470.0,47482.0,274133.0,1557568.0
잠원,101949.0,63783.0,223.0,0.0,141.0,5944.0,116343.0,5164.0,0.0,293547.0
반포,374784.0,123111.0,400.0,0.0,9227.0,9000.0,55958.0,11104.0,93252.0,676836.0
이촌,113920.0,81340.0,820.0,0.0,2730.0,2600.0,74760.0,8860.0,0.0,285030.0
여의도,635625.0,180910.0,4880.0,0.0,20030.0,16220.0,49180.0,101400.0,1156555.0,2164800.0
양화,90559.0,75804.0,290.0,0.0,9312.0,0.0,28027.0,1152.0,0.0,205144.0
난지,206665.0,98535.0,0.0,0.0,5690.0,55000.0,18870.0,31111.0,0.0,415871.0
망원,156132.0,121825.0,694.0,0.0,10701.0,340.0,38482.0,2732.0,0.0,330906.0
강서,78323.0,148146.0,439.0,0.0,3700.0,0.0,44881.0,859.0,0.0,276348.0
광나루,143659.0,117933.0,301.0,0.0,1561.0,0.0,119699.0,1289.0,0.0,384442.0
잠실,144210.0,0.0,70.0,0.0,0.0,0.0,251560.0,6190.0,0.0,402030.0
뚝섬,824040.0,272120.0,175.0,0.0,26423.0,10800.0,166110.0,52398.0,242002.0,1594068.0
잠원,75370.0,0.0,524.0,0.0,1411.0,35000.0,91640.0,3418.0,0.0,207363.0
반포,326637.0,0.0,242.0,0.0,10421.0,7079.0,181253.0,11376.0,95954.0,632962.0
이촌,111590.0,86420.0,590.0,0.0,2680.0,3000.0,82980.0,9330.0,0.0,296590.0
여의도,621960.0,175330.0,6540.0,0.0,14620.0,24020.0,54600.0,122180.0,1088450.0,2107700.0
양화,89470.0,0.0,276.0,0.0,3024.0,600.0,119733.0,1469.0,0.0,214572.0
난지,192959.0,108757.0,863.0,0.0,2828.0,34974.0,19201.0,28788.0,0.0,388370.0
망원,140801.0,118385.0,559.0,0.0,11935.0,0.0,51880.0,2556.0,0.0,326116.0
강서,80539.0,115673.0,452.0,0.0,1566.0,0.0,48823.0,983.0,0.0,248036.0
광나루,162860.0,111263.0,242.0,0.0,631.0,400.0,101390.0,16828.0,0.0,393614.0
잠실,139350.0,148210.0,0.0,0.0,0.0,500.0,0.0,27604.0,0.0,315664.0
뚝섬,811905.0,181260.0,0.0,0.0,50695.0,1000.0,176435.0,49914.0,165837.0,1437046.0
잠원,75393.0,31710.0,40.0,0.0,80.0,0.0,57880.0,24566.0,0.0,189669.0
반포,357853.0,110934.0,113.0,0.0,2479.0,0.0,33879.0,12358.0,91762.0,609378.0
이촌,106620.0,88110.0,570.0,0.0,2240.0,6140.0,81830.0,7820.0,0.0,293330.0
여의도,464675.0,157640.0,5798.0,0.0,37500.0,40790.0,70780.0,153710.0,1163777.0,2094670.0
양화,73716.0,71302.0,23.0,0.0,9406.0,20.0,22851.0,2974.0,0.0,180292.0
난지,201322.0,119386.0,1194.0,0.0,2213.0,45899.0,29715.0,26387.0,0.0,426116.0
망원,117491.0,113402.0,736.0,0.0,10090.0,700.0,56120.0,2154.0,0.0,300693.0
강서,84171.0,108317.0,337.0,0.0,1515.0,0.0,49199.0,0.0,0.0,243539.0
광나루,145886.0,125012.0,607.0,0.0,307.0,153.0,99140.0,19885.0,0.0,390990.0
잠실,131410.0,122745.0,185.0,0.0,0.0,2000.0,75270.0,21028.0,0.0,352638.0
뚝섬,992830.0,233260.0,247.0,0.0,60399.0,4000.0,240530.0,74464.0,197792.0,1803522.0
잠원,62369.0,34569.0,42.0,0.0,66.0,0.0,48530.0,22132.0,0.0,167708.0
