지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간,평균기온,최저기온,최고기온,평균온도 구분,최고기온 구분,최저기온 구분,지점명_청담,아침 비율_청담,낮 비율_청담,저녁 비율_청담,지점명_영동,아침 비율_영동,낮 비율_영동,저녁 비율_영동
PLT-005,뚝섬2주차장,518,54850.0,2024-02-29,2024,2,29,0,105.88803088803088,4.8,0.3,9.6,0,9,-4,청담대교,0.2643047731989327,0.39547715518661264,0.34021807161445466,영동대교,0.18822643133878605,0.4291146505954943,0.3826589180657196
PLT-005,뚝섬1주차장,175,10098.0,2024-02-29,2024,2,29,0,57.70285714285714,4.8,0.3,9.6,0,9,-4,청담대교,0.2643047731989327,0.39547715518661264,0.34021807161445466,영동대교,0.18822643133878605,0.4291146505954943,0.3826589180657196
PLT-005,뚝섬3주차장,260,20227.0,2024-02-29,2024,2,29,0,77.79615384615384,4.8,0.3,9.6,0,9,-4,청담대교,0.2643047731989327,0.39547715518661264,0.34021807161445466,영동대교,0.18822643133878605,0.4291146505954943,0.3826589180657196
PLT-005,뚝섬4주차장,526,54791.0,2024-02-29,2024,2,29,0,104.16539923954372,4.8,0.3,9.6,0,9,-4,청담대교,0.2643047731989327,0.39547715518661264,0.34021807161445466,영동대교,0.18822643133878605,0.4291146505954943,0.3826589180657196
PLT-005,뚝섬3주차장,195,17464.0,2024-02-28,2024,2,28,0,89.55897435897435,6.4,3.2,10.1,5,9,1,청담대교,0.275049183132324,0.4171071764605252,0.3078436404071508,영동대교,0.2002134112097046,0.43165225204987084,0.36813433674042456
PLT-005,뚝섬2주차장,488,58616.0,2024-02-28,2024,2,28,0,120.11475409836063,6.4,3.2,10.1,5,9,1,청담대교,0.275049183132324,0.4171071764605252,0.3078436404071508,영동대교,0.2002134112097046,0.43165225204987084,0.36813433674042456
PLT-005,뚝섬4주차장,524,60552.0,2024-02-28,2024,2,28,0,115.55725190839696,6.4,3.2,10.1,5,9,1,청담대교,0.275049183132324,0.4171071764605252,0.3078436404071508,영동대교,0.2002134112097046,0.43165225204987084,0.36813433674042456
PLT-005,뚝섬1주차장,191,13356.0,2024-02-28,2024,2,28,0,69.92670157068063,6.4,3.2,10.1,5,9,1,청담대교,0.275049183132324,0.4171071764605252,0.3078436404071508,영동대교,0.2002134112097046,0.43165225204987084,0.36813433674042456
PLT-005,뚝섬4주차장,519,66605.0,2024-02-27,2024,2,27,0,128.33333333333334,5.3,1.2,9.8,5,9,1,청담대교,0.2742944553298271,0.42140180811934963,0.30430373655082327,영동대교,0.19831000792183787,0.43413557659662755,0.36755441548153456
PLT-005,뚝섬2주차장,511,58955.0,2024-02-27,2024,2,27,0,115.37181996086106,5.3,1.2,9.8,5,9,1,청담대교,0.2742944553298271,0.42140180811934963,0.30430373655082327,영동대교,0.19831000792183787,0.43413557659662755,0.36755441548153456
PLT-005,뚝섬1주차장,176,13270.0,2024-02-27,2024,2,27,0,75.39772727272727,5.3,1.2,9.8,5,9,1,청담대교,0.2742944553298271,0.42140180811934963,0.30430373655082327,영동대교,0.19831000792183787,0.43413557659662755,0.36755441548153456
PLT-005,뚝섬3주차장,222,17810.0,2024-02-27,2024,2,27,0,80.22522522522523,5.3,1.2,9.8,5,9,1,청담대교,0.2742944553298271,0.42140180811934963,0.30430373655082327,영동대교,0.19831000792183787,0.43413557659662755,0.36755441548153456
PLT-005,뚝섬1주차장,165,11144.0,2024-02-26,2024,2,26,0,67.53939393939395,3.8,-1.2,9.7,0,9,-4,청담대교,0.2926465164474262,0.4236287957287624,0.28372468782381144,영동대교,0.2005527043031978,0.4474338728780103,0.35201342281879194
PLT-005,뚝섬2주차장,524,69284.0,2024-02-26,2024,2,26,0,132.22137404580153,3.8,-1.2,9.7,0,9,-4,청담대교,0.2926465164474262,0.4236287957287624,0.28372468782381144,영동대교,0.2005527043031978,0.4474338728780103,0.35201342281879194
PLT-005,뚝섬3주차장,248,25668.0,2024-02-26,2024,2,26,0,103.5,3.8,-1.2,9.7,0,9,-4,청담대교,0.2926465164474262,0.4236287957287624,0.28372468782381144,영동대교,0.2005527043031978,0.4474338728780103,0.35201342281879194
PLT-005,뚝섬4주차장,509,56167.0,2024-02-26,2024,2,26,0,110.34774066797642,3.8,-1.2,9.7,0,9,-4,청담대교,0.2926465164474262,0.4236287957287624,0.28372468782381144,영동대교,0.2005527043031978,0.4474338728780103,0.35201342281879194
PLT-005,뚝섬1주차장,410,23622.0,2024-02-25,2024,2,25,1,57.614634146341466,2.8,0.8,5.9,0,4,-4,청담대교,0.21539734765144022,0.47730162895379585,0.30730102339476395,영동대교,0.18140458475769153,0.4877840337824251,0.33081138145988337
PLT-005,뚝섬4주차장,775,80606.0,2024-02-25,2024,2,25,1,104.00774193548386,2.8,0.8,5.9,0,4,-4,청담대교,0.21539734765144022,0.47730162895379585,0.30730102339476395,영동대교,0.18140458475769153,0.4877840337824251,0.33081138145988337
PLT-005,뚝섬2주차장,987,151674.0,2024-02-25,2024,2,25,1,153.67173252279636,2.8,0.8,5.9,0,4,-4,청담대교,0.21539734765144022,0.47730162895379585,0.30730102339476395,영동대교,0.18140458475769153,0.4877840337824251,0.33081138145988337
PLT-005,뚝섬3주차장,543,76250.0,2024-02-25,2024,2,25,1,140.4235727440147,2.8,0.8,5.9,0,4,-4,청담대교,0.21539734765144022,0.47730162895379585,0.30730102339476395,영동대교,0.18140458475769153,0.4877840337824251,0.33081138145988337
PLT-005,뚝섬2주차장,500,50339.0,2024-02-24,2024,2,24,1,100.678,2.0,-1.3,5.9,0,4,-4,청담대교,0.2544724811921817,0.44199272884345414,0.3035347899643641,영동대교,0.20171465545131026,0.45927693303138145,0.3390084115173083
PLT-005,뚝섬1주차장,224,16034.0,2024-02-24,2024,2,24,1,71.58035714285714,2.0,-1.3,5.9,0,4,-4,청담대교,0.2544724811921817,0.44199272884345414,0.3035347899643641,영동대교,0.20171465545131026,0.45927693303138145,0.3390084115173083
PLT-005,뚝섬3주차장,319,22524.0,2024-02-24,2024,2,24,1,70.60815047021944,2.0,-1.3,5.9,0,4,-4,청담대교,0.2544724811921817,0.44199272884345414,0.3035347899643641,영동대교,0.20171465545131026,0.45927693303138145,0.3390084115173083
PLT-005,뚝섬4주차장,717,65184.0,2024-02-24,2024,2,24,1,90.9121338912134,2.0,-1.3,5.9,0,4,-4,청담대교,0.2544724811921817,0.44199272884345414,0.3035347899643641,영동대교,0.20171465545131026,0.45927693303138145,0.3390084115173083
PLT-005,뚝섬2주차장,463,53280.0,2024-02-23,2024,2,23,0,115.0755939524838,1.8,-1.0,6.1,0,4,-4,청담대교,0.2707818360961781,0.41249070889007966,0.3167274550137422,영동대교,0.19479534160312584,0.4427942794279428,0.36241037896893136
PLT-005,뚝섬1주차장,138,10774.0,2024-02-23,2024,2,23,0,78.07246376811594,1.8,-1.0,6.1,0,4,-4,청담대교,0.2707818360961781,0.41249070889007966,0.3167274550137422,영동대교,0.19479534160312584,0.4427942794279428,0.36241037896893136
PLT-005,뚝섬3주차장,207,14574.0,2024-02-23,2024,2,23,0,70.40579710144928,1.8,-1.0,6.1,0,4,-4,청담대교,0.2707818360961781,0.41249070889007966,0.3167274550137422,영동대교,0.19479534160312584,0.4427942794279428,0.36241037896893136
PLT-005,뚝섬4주차장,539,57160.0,2024-02-23,2024,2,23,0,106.04823747680892,1.8,-1.0,6.1,0,4,-4,청담대교,0.2707818360961781,0.41249070889007966,0.3167274550137422,영동대교,0.19479534160312584,0.4427942794279428,0.36241037896893136
PLT-005,뚝섬2주차장,363,50548.0,2024-02-22,2024,2,22,0,139.25068870523415,0.2,-1.1,1.6,0,-1,-4,청담대교,0.2673158532888754,0.4226280691118521,0.3100560775992725,영동대교,0.19310859250357418,0.4417255454488946,0.3651658620475312
PLT-005,뚝섬4주차장,372,42430.0,2024-02-22,2024,2,22,0,114.05913978494624,0.2,-1.1,1.6,0,-1,-4,청담대교,0.2673158532888754,0.4226280691118521,0.3100560775992725,영동대교,0.19310859250357418,0.4417255454488946,0.3651658620475312
PLT-005,뚝섬3주차장,144,10583.0,2024-02-22,2024,2,22,0,73.49305555555556,0.2,-1.1,1.6,0,-1,-4,청담대교,0.2673158532888754,0.4226280691118521,0.3100560775992725,영동대교,0.19310859250357418,0.4417255454488946,0.3651658620475312
PLT-005,뚝섬1주차장,120,6305.0,2024-02-22,2024,2,22,0,52.541666666666664,0.2,-1.1,1.6,0,-1,-4,청담대교,0.2673158532888754,0.4226280691118521,0.3100560775992725,영동대교,0.19310859250357418,0.4417255454488946,0.3651658620475312
PLT-005,뚝섬3주차장,107,10853.0,2024-02-21,2024,2,21,0,101.42990654205607,1.9,0.0,4.0,0,-1,-4,청담대교,0.2777299592586217,0.4021537461027907,0.32011629463858765,영동대교,0.19673157843233194,0.428319796457579,0.37494862511008903
PLT-005,뚝섬2주차장,318,50517.0,2024-02-21,2024,2,21,0,158.85849056603774,1.9,0.0,4.0,0,-1,-4,청담대교,0.2777299592586217,0.4021537461027907,0.32011629463858765,영동대교,0.19673157843233194,0.428319796457579,0.37494862511008903
PLT-005,뚝섬4주차장,354,44729.0,2024-02-21,2024,2,21,0,126.35310734463278,1.9,0.0,4.0,0,-1,-4,청담대교,0.2777299592586217,0.4021537461027907,0.32011629463858765,영동대교,0.19673157843233194,0.428319796457579,0.37494862511008903
PLT-005,뚝섬1주차장,104,4657.0,2024-02-21,2024,2,21,0,44.77884615384615,1.9,0.0,4.0,0,-1,-4,청담대교,0.2777299592586217,0.4021537461027907,0.32011629463858765,영동대교,0.19673157843233194,0.428319796457579,0.37494862511008903
PLT-005,뚝섬4주차장,422,51166.0,2024-02-20,2024,2,20,0,121.24644549763032,4.3,2.8,6.8,0,4,1,청담대교,0.28201232975923407,0.39829715073042343,0.3196905195103425,영동대교,0.2046963031565949,0.42901520413676003,0.36628849270664504
PLT-005,뚝섬3주차장,175,12868.0,2024-02-20,2024,2,20,0,73.53142857142858,4.3,2.8,6.8,0,4,1,청담대교,0.28201232975923407,0.39829715073042343,0.3196905195103425,영동대교,0.2046963031565949,0.42901520413676003,0.36628849270664504
PLT-005,뚝섬2주차장,434,71183.0,2024-02-20,2024,2,20,0,164.01612903225808,4.3,2.8,6.8,0,4,1,청담대교,0.28201232975923407,0.39829715073042343,0.3196905195103425,영동대교,0.2046963031565949,0.42901520413676003,0.36628849270664504
PLT-005,뚝섬1주차장,126,10684.0,2024-02-20,2024,2,20,0,84.7936507936508,4.3,2.8,6.8,0,4,1,청담대교,0.28201232975923407,0.39829715073042343,0.3196905195103425,영동대교,0.2046963031565949,0.42901520413676003,0.36628849270664504
PLT-005,뚝섬1주차장,130,9829.0,2024-02-19,2024,2,19,0,75.6076923076923,9.1,4.2,11.9,5,9,1,청담대교,0.28468310195352037,0.41562434357515227,0.29969255447132737,영동대교,0.2099384452325629,0.44708735885206474,0.34297419591537237
PLT-005,뚝섬4주차장,375,50846.0,2024-02-19,2024,2,19,0,135.58933333333334,9.1,4.2,11.9,5,9,1,청담대교,0.28468310195352037,0.41562434357515227,0.29969255447132737,영동대교,0.2099384452325629,0.44708735885206474,0.34297419591537237
PLT-005,뚝섬2주차장,383,64977.0,2024-02-19,2024,2,19,0,169.65274151436032,9.1,4.2,11.9,5,9,1,청담대교,0.28468310195352037,0.41562434357515227,0.29969255447132737,영동대교,0.2099384452325629,0.44708735885206474,0.34297419591537237
PLT-005,뚝섬3주차장,129,9785.0,2024-02-19,2024,2,19,0,75.85271317829458,9.1,4.2,11.9,5,9,1,청담대교,0.28468310195352037,0.41562434357515227,0.29969255447132737,영동대교,0.2099384452325629,0.44708735885206474,0.34297419591537237
PLT-005,뚝섬2주차장,520,54758.0,2024-02-18,2024,2,18,1,105.30384615384617,6.2,1.2,9.4,5,9,1,청담대교,0.22564124359818943,0.4671568523280277,0.30720190407378284,영동대교,0.1751842996612871,0.4957162781430564,0.3290994221956565
PLT-005,뚝섬3주차장,241,19084.0,2024-02-18,2024,2,18,1,79.18672199170125,6.2,1.2,9.4,5,9,1,청담대교,0.22564124359818943,0.4671568523280277,0.30720190407378284,영동대교,0.1751842996612871,0.4957162781430564,0.3290994221956565
PLT-005,뚝섬1주차장,171,15250.0,2024-02-18,2024,2,18,1,89.18128654970761,6.2,1.2,9.4,5,9,1,청담대교,0.22564124359818943,0.4671568523280277,0.30720190407378284,영동대교,0.1751842996612871,0.4957162781430564,0.3290994221956565
PLT-005,뚝섬4주차장,533,46420.0,2024-02-18,2024,2,18,1,87.09193245778611,6.2,1.2,9.4,5,9,1,청담대교,0.22564124359818943,0.4671568523280277,0.30720190407378284,영동대교,0.1751842996612871,0.4957162781430564,0.3290994221956565
PLT-005,뚝섬3주차장,504,40551.0,2024-02-17,2024,2,17,1,80.45833333333333,4.4,-1.2,11.7,0,9,-4,청담대교,0.25319561236644206,0.43828334725950685,0.3085210403740511,영동대교,0.20341376557991037,0.46274124557417984,0.33384498884590985
PLT-005,뚝섬2주차장,826,79033.0,2024-02-17,2024,2,17,1,95.681598062954,4.4,-1.2,11.7,0,9,-4,청담대교,0.25319561236644206,0.43828334725950685,0.3085210403740511,영동대교,0.20341376557991037,0.46274124557417984,0.33384498884590985
PLT-005,뚝섬4주차장,966,83556.0,2024-02-17,2024,2,17,1,86.4968944099379,4.4,-1.2,11.7,0,9,-4,청담대교,0.25319561236644206,0.43828334725950685,0.3085210403740511,영동대교,0.20341376557991037,0.46274124557417984,0.33384498884590985
PLT-005,뚝섬1주차장,319,22495.0,2024-02-17,2024,2,17,1,70.51724137931035,4.4,-1.2,11.7,0,9,-4,청담대교,0.25319561236644206,0.43828334725950685,0.3085210403740511,영동대교,0.20341376557991037,0.46274124557417984,0.33384498884590985
PLT-005,뚝섬4주차장,595,65367.0,2024-02-16,2024,2,16,0,109.86050420168068,2.3,-1.5,8.1,0,4,-4,청담대교,0.2766949659213201,0.41205309099605403,0.3112519430826258,영동대교,0.19764928909952606,0.4330047393364929,0.369345971563981
PLT-005,뚝섬1주차장,191,15110.0,2024-02-16,2024,2,16,0,79.10994764397905,2.3,-1.5,8.1,0,4,-4,청담대교,0.2766949659213201,0.41205309099605403,0.3112519430826258,영동대교,0.19764928909952606,0.4330047393364929,0.369345971563981
PLT-005,뚝섬2주차장,462,57411.0,2024-02-16,2024,2,16,0,124.26623376623375,2.3,-1.5,8.1,0,4,-4,청담대교,0.2766949659213201,0.41205309099605403,0.3112519430826258,영동대교,0.19764928909952606,0.4330047393364929,0.369345971563981
PLT-005,뚝섬3주차장,206,14498.0,2024-02-16,2024,2,16,0,70.37864077669903,2.3,-1.5,8.1,0,4,-4,청담대교,0.2766949659213201,0.41205309099605403,0.3112519430826258,영동대교,0.19764928909952606,0.4330047393364929,0.369345971563981
PLT-005,뚝섬3주차장,126,9993.0,2024-02-15,2024,2,15,0,79.30952380952381,4.5,0.6,11.6,0,9,-4,청담대교,0.271727192854005,0.4127617513545175,0.31551105579147753,영동대교,0.2007072355638455,0.42579855444159476,0.37349420999455973
PLT-005,뚝섬4주차장,401,46342.0,2024-02-15,2024,2,15,0,115.56608478802993,4.5,0.6,11.6,0,9,-4,청담대교,0.271727192854005,0.4127617513545175,0.31551105579147753,영동대교,0.2007072355638455,0.42579855444159476,0.37349420999455973
PLT-005,뚝섬2주차장,397,54261.0,2024-02-15,2024,2,15,0,136.67758186397984,4.5,0.6,11.6,0,9,-4,청담대교,0.271727192854005,0.4127617513545175,0.31551105579147753,영동대교,0.2007072355638455,0.42579855444159476,0.37349420999455973
PLT-005,뚝섬1주차장,151,9647.0,2024-02-15,2024,2,15,0,63.88741721854305,4.5,0.6,11.6,0,9,-4,청담대교,0.271727192854005,0.4127617513545175,0.31551105579147753,영동대교,0.2007072355638455,0.42579855444159476,0.37349420999455973
PLT-005,뚝섬2주차장,647,74695.0,2024-02-14,2024,2,14,0,115.4482225656878,12.9,8.8,18.3,10,14,6,청담대교,0.2739438099908919,0.41200168149653194,0.3140545085125762,영동대교,0.1971653969604393,0.43120383618856106,0.37163076685099966
PLT-005,뚝섬1주차장,232,11317.0,2024-02-14,2024,2,14,0,48.7801724137931,12.9,8.8,18.3,10,14,6,청담대교,0.2739438099908919,0.41200168149653194,0.3140545085125762,영동대교,0.1971653969604393,0.43120383618856106,0.37163076685099966
PLT-005,뚝섬4주차장,668,70106.0,2024-02-14,2024,2,14,0,104.9491017964072,12.9,8.8,18.3,10,14,6,청담대교,0.2739438099908919,0.41200168149653194,0.3140545085125762,영동대교,0.1971653969604393,0.43120383618856106,0.37163076685099966
PLT-005,뚝섬3주차장,327,25699.0,2024-02-14,2024,2,14,0,78.59021406727828,12.9,8.8,18.3,10,14,6,청담대교,0.2739438099908919,0.41200168149653194,0.3140545085125762,영동대교,0.1971653969604393,0.43120383618856106,0.37163076685099966
