"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-005","뚝섬1주차장","273","22891","2024/11/10"
"PLT-011","잠실1주차장","1059","66361","2024/11/10"
"PLT-001","강서1주차장","329","26875","2024/11/10"
"PLT-008","여의도5주차장","229","22509","2024/11/10"
"PLT-008","여의도2주차장","1934","150135","2024/11/10"
"PLT-007","양화1주차장","384","31676","2024/11/10"
"PLT-007","양화2주차장","88","10081","2024/11/10"
"PLT-007","양화3주차장","1270","119160","2024/11/10"
"PLT-010","잠원2-6주차장","2365","222123","2024/11/10"
"PLT-008","여의도1주차장","3398","355119","2024/11/10"
"PLT-005","뚝섬3주차장","686","62848","2024/11/10"
"PLT-003","망원2,3주차장","1586","137106","2024/11/10"
"PLT-009","반포1주차장","1174","72134","2024/11/10"
"PLT-006","광나루4주차장","113","8688","2024/11/10"
"PLT-003","망원1주차장","574","71554","2024/11/10"
"PLT-009","반포2,3주차장","3409","304262","2024/11/10"
"PLT-005","뚝섬4주차장","864","79419","2024/11/10"
"PLT-004","이촌2주차장","541","51737","2024/11/10"
"PLT-004","이촌1주차장","355","11707","2024/11/10"
"PLT-008","여의도4주차장","41","1994","2024/11/10"
"PLT-006","광나루1,2주차장","1014","107602","2024/11/10"
"PLT-005","뚝섬2주차장","965","108345","2024/11/10"
"PLT-011","잠실4주차장","1409","120025","2024/11/10"
"PLT-004","이촌3주차장","1727","159626","2024/11/10"
"PLT-008","여의도3주차장","2326","318649","2024/11/10"
"PLT-010","잠원1주차장","647","41514","2024/11/10"
"PLT-002","난지1,2,3주차장","2253","191212","2024/11/10"
"PLT-006","광나루3주차장","1029","98079","2024/11/10"
"PLT-004","이촌3주차장","1387","116327","2024/11/09"
"PLT-004","이촌1주차장","279","10634","2024/11/09"
"PLT-005","뚝섬2주차장","850","91910","2024/11/09"
"PLT-003","망원1주차장","472","45271","2024/11/09"
"PLT-010","잠원1주차장","561","70063","2024/11/09"
"PLT-007","양화1주차장","354","31024","2024/11/09"
"PLT-011","잠실1주차장","1288","59074","2024/11/09"
"PLT-008","여의도3주차장","1209","122181","2024/11/09"
"PLT-007","양화2주차장","83","9013","2024/11/09"
"PLT-011","잠실4주차장","1551","136458","2024/11/09"
"PLT-002","난지1,2,3주차장","2104","179016","2024/11/09"
"PLT-009","반포2,3주차장","3783","331038","2024/11/09"
"PLT-005","뚝섬4주차장","856","91972","2024/11/09"
"PLT-004","이촌2주차장","312","34245","2024/11/09"
"PLT-006","광나루4주차장","86","9771","2024/11/09"
"PLT-007","양화3주차장","1134","109282","2024/11/09"
"PLT-009","반포1주차장","1170","69848","2024/11/09"
"PLT-006","광나루3주차장","715","59959","2024/11/09"
"PLT-010","잠원2-6주차장","2187","232477","2024/11/09"
"PLT-005","뚝섬1주차장","300","24253","2024/11/09"
"PLT-003","망원2,3주차장","1526","130454","2024/11/09"
"PLT-008","여의도2주차장","1648","113881","2024/11/09"
"PLT-008","여의도5주차장","210","27294","2024/11/09"
"PLT-005","뚝섬3주차장","649","64831","2024/11/09"
"PLT-001","강서1주차장","294","23880","2024/11/09"
"PLT-008","여의도4주차장","48","3550","2024/11/09"
"PLT-008","여의도1주차장","3229","324829","2024/11/09"
"PLT-006","광나루1,2주차장","819","87100","2024/11/09"
"PLT-005","뚝섬4주차장","584","59235","2024/11/08"
"PLT-007","양화3주차장","690","77293","2024/11/08"
"PLT-006","광나루1,2주차장","514","55652","2024/11/08"
"PLT-009","반포2,3주차장","1994","154517","2024/11/08"
"PLT-005","뚝섬1주차장","186","13157","2024/11/08"
"PLT-011","잠실1주차장","1779","54957","2024/11/08"
"PLT-003","망원2,3주차장","935","72544","2024/11/08"
"PLT-003","망원1주차장","281","30353","2024/11/08"
"PLT-006","광나루3주차장","488","44292","2024/11/08"
"PLT-005","뚝섬2주차장","512","59418","2024/11/08"
"PLT-004","이촌3주차장","843","82495","2024/11/08"
"PLT-004","이촌2주차장","244","23330","2024/11/08"
"PLT-008","여의도2주차장","1385","173515","2024/11/08"
"PLT-008","여의도5주차장","396","106458","2024/11/08"
"PLT-008","여의도1주차장","1833","301012","2024/11/08"
"PLT-002","난지1,2,3주차장","1790","91355","2024/11/08"
"PLT-004","이촌1주차장","151","11612","2024/11/08"
"PLT-008","여의도3주차장","1196","336408","2024/11/08"
"PLT-010","잠원1주차장","379","36606","2024/11/08"
"PLT-007","양화1주차장","265","31123","2024/11/08"
"PLT-007","양화2주차장","57","4774","2024/11/08"
"PLT-010","잠원2-6주차장","1517","178284","2024/11/08"
"PLT-011","잠실4주차장","1793","101356","2024/11/08"
"PLT-006","광나루4주차장","147","14252","2024/11/08"
"PLT-005","뚝섬3주차장","295","26782","2024/11/08"
"PLT-009","반포1주차장","647","21497","2024/11/08"
"PLT-008","여의도4주차장","171","62264","2024/11/08"
"PLT-001","강서1주차장","171","10683","2024/11/08"
"PLT-002","난지1,2,3주차장","1769","91622","2024/11/07"
"PLT-007","양화3주차장","552","49272","2024/11/07"
"PLT-008","여의도5주차장","365","108447","2024/11/07"
"PLT-006","광나루1,2주차장","462","44416","2024/11/07"
"PLT-006","광나루4주차장","400","16524","2024/11/07"
"PLT-010","잠원1주차장","395","40720","2024/11/07"
"PLT-005","뚝섬3주차장","260","31179","2024/11/07"
"PLT-006","광나루3주차장","465","51518","2024/11/07"
"PLT-011","잠실4주차장","1952","108130","2024/11/07"
"PLT-001","강서1주차장","141","7701","2024/11/07"
"PLT-004","이촌2주차장","221","20475","2024/11/07"
"PLT-003","망원1주차장","270","30480","2024/11/07"
"PLT-010","잠원2-6주차장","1489","195563","2024/11/07"
"PLT-009","반포1주차장","564","22023","2024/11/07"
"PLT-004","이촌1주차장","158","11259","2024/11/07"
"PLT-007","양화1주차장","228","28881","2024/11/07"
"PLT-008","여의도2주차장","1104","166130","2024/11/07"
"PLT-008","여의도4주차장","178","62292","2024/11/07"
"PLT-004","이촌3주차장","723","76200","2024/11/07"
"PLT-007","양화2주차장","46","5545","2024/11/07"
"PLT-008","여의도1주차장","1458","304047","2024/11/07"
"PLT-005","뚝섬2주차장","459","61512","2024/11/07"
"PLT-005","뚝섬4주차장","563","67116","2024/11/07"
"PLT-003","망원2,3주차장","844","69035","2024/11/07"
"PLT-011","잠실1주차장","1962","67184","2024/11/07"
"PLT-008","여의도3주차장","1096","343603","2024/11/07"
"PLT-009","반포2,3주차장","2127","241934","2024/11/07"
"PLT-005","뚝섬1주차장","174","14273","2024/11/07"
"PLT-006","광나루1,2주차장","497","50328","2024/11/06"
"PLT-001","강서1주차장","148","10309","2024/11/06"
"PLT-011","잠실1주차장","2006","70052","2024/11/06"
"PLT-005","뚝섬3주차장","277","27481","2024/11/06"
"PLT-008","여의도3주차장","1179","362766","2024/11/06"
"PLT-009","반포2,3주차장","1923","172642","2024/11/06"
"PLT-005","뚝섬4주차장","519","57699","2024/11/06"
"PLT-006","광나루4주차장","403","20457","2024/11/06"
"PLT-005","뚝섬1주차장","171","12904","2024/11/06"
"PLT-007","양화2주차장","37","3497","2024/11/06"
"PLT-006","광나루3주차장","503","68730","2024/11/06"
"PLT-007","양화1주차장","249","29218","2024/11/06"
"PLT-009","반포1주차장","522","19107","2024/11/06"
"PLT-002","난지1,2,3주차장","1828","87719","2024/11/06"
"PLT-003","망원1주차장","193","21082","2024/11/06"
"PLT-008","여의도1주차장","1409","301295","2024/11/06"
"PLT-008","여의도4주차장","81","13567","2024/11/06"
"PLT-004","이촌2주차장","200","21058","2024/11/06"
"PLT-007","양화3주차장","525","45953","2024/11/06"
"PLT-010","잠원2-6주차장","1454","182994","2024/11/06"
"PLT-011","잠실4주차장","1961","114272","2024/11/06"
"PLT-008","여의도2주차장","1134","164114","2024/11/06"
"PLT-010","잠원1주차장","339","36090","2024/11/06"
"PLT-004","이촌1주차장","144","11612","2024/11/06"
"PLT-008","여의도5주차장","364","115020","2024/11/06"
"PLT-005","뚝섬2주차장","416","57779","2024/11/06"
"PLT-004","이촌3주차장","796","82484","2024/11/06"
"PLT-003","망원2,3주차장","830","73561","2024/11/06"
"PLT-010","잠원2-6주차장","1472","177570","2024/11/05"
"PLT-008","여의도4주차장","188","68568","2024/11/05"
"PLT-008","여의도5주차장","359","108942","2024/11/05"
"PLT-003","망원1주차장","245","28303","2024/11/05"
"PLT-007","양화1주차장","218","24854","2024/11/05"
"PLT-011","잠실4주차장","1916","95076","2024/11/05"
"PLT-007","양화3주차장","571","51618","2024/11/05"
"PLT-008","여의도2주차장","1385","182126","2024/11/05"
"PLT-010","잠원1주차장","369","34857","2024/11/05"
"PLT-005","뚝섬2주차장","468","69085","2024/11/05"
"PLT-006","광나루3주차장","505","57854","2024/11/05"
"PLT-008","여의도1주차장","1529","315541","2024/11/05"
"PLT-007","양화2주차장","58","4260","2024/11/05"
"PLT-009","반포2,3주차장","1753","136207","2024/11/05"
"PLT-006","광나루1,2주차장","510","58045","2024/11/05"
"PLT-009","반포1주차장","503","23338","2024/11/05"
"PLT-005","뚝섬4주차장","530","60704","2024/11/05"
"PLT-002","난지1,2,3주차장","1749","88501","2024/11/05"
"PLT-005","뚝섬1주차장","170","12494","2024/11/05"
"PLT-006","광나루4주차장","422","19765","2024/11/05"
"PLT-008","여의도3주차장","1131","368233","2024/11/05"
"PLT-004","이촌3주차장","670","73974","2024/11/05"
"PLT-005","뚝섬3주차장","256","30477","2024/11/05"
"PLT-001","강서1주차장","160","12655","2024/11/05"
"PLT-011","잠실1주차장","1991","68542","2024/11/05"
"PLT-004","이촌2주차장","205","21567","2024/11/05"
"PLT-004","이촌1주차장","171","12155","2024/11/05"
"PLT-003","망원2,3주차장","811","69337","2024/11/05"
"PLT-005","뚝섬4주차장","504","51025","2024/11/04"
"PLT-008","여의도4주차장","174","66421","2024/11/04"
"PLT-007","양화3주차장","585","45304","2024/11/04"
"PLT-004","이촌1주차장","163","12113","2024/11/04"
"PLT-007","양화1주차장","216","27093","2024/11/04"
"PLT-004","이촌3주차장","805","79034","2024/11/04"
"PLT-008","여의도1주차장","1568","305118","2024/11/04"
"PLT-002","난지1,2,3주차장","1846","93939","2024/11/04"
"PLT-003","망원2,3주차장","907","70367","2024/11/04"
"PLT-008","여의도5주차장","366","104436","2024/11/04"
"PLT-008","여의도2주차장","1273","172736","2024/11/04"
"PLT-003","망원1주차장","278","30405","2024/11/04"
"PLT-009","반포1주차장","507","21212","2024/11/04"
"PLT-006","광나루4주차장","382","11784","2024/11/04"
"PLT-001","강서1주차장","192","12158","2024/11/04"
"PLT-005","뚝섬2주차장","503","66991","2024/11/04"
"PLT-004","이촌2주차장","198","21994","2024/11/04"
"PLT-010","잠원1주차장","357","34092","2024/11/04"
"PLT-010","잠원2-6주차장","1527","179984","2024/11/04"
"PLT-006","광나루3주차장","658","57180","2024/11/04"
"PLT-006","광나루1,2주차장","536","47329","2024/11/04"
"PLT-005","뚝섬1주차장","186","16161","2024/11/04"
"PLT-009","반포2,3주차장","1778","121049","2024/11/04"
"PLT-008","여의도3주차장","1206","400234","2024/11/04"
"PLT-011","잠실1주차장","1938","67073","2024/11/04"
"PLT-005","뚝섬3주차장","260","22332","2024/11/04"
"PLT-011","잠실4주차장","2057","133822","2024/11/04"
"PLT-007","양화2주차장","49","2736","2024/11/04"
"PLT-007","양화1주차장","366","41820","2024/11/03"
"PLT-011","잠실4주차장","2007","186774","2024/11/03"
"PLT-008","여의도2주차장","2510","195159","2024/11/03"
"PLT-006","광나루4주차장","138","8738","2024/11/03"
"PLT-010","잠원2-6주차장","2668","238254","2024/11/03"
