"지구별","주차장별","위치정보(위도)","위치정보(경도)","주소","면수","장애면수","정기면수","주중 이용시간 시작","주중 이용시간 종료","주말 이용시간 시작","주말 이용시간 종료","면제시간","기본시간","기본요금","간격시간","간격요금","전일요금","주간요금","야간요금","정기금금액","주차장 운영업체","업체 전화번호","운영 시작기간","운영 종료기간"
"강서","강서1주차장","37.585709","126.818279","서울강서구방화동61(방화동)","53","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_양화_강서","02-2068-9617","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"광나루","광나루1,2주차장","37.553885","127.12316","서울강동구암사동613-11","168","0","0","06:00","21:00","06:00","21:00","0","0","0","10","200","10000","0","0","50000","공우이엔씨(주)_잠실_광나루","02-3431-3774","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"광나루","광나루3주차장","37.543078","127.117775","서울강동구풍납동49-2","191","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_잠실_광나루","02-3431-3774","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"난지","난지1,2,3주차장","37.56982189","126.8736403","서울마포구상암동487-370","544","0","0","06:00","21:00","06:00","21:00","0","0","0","10","200","10000","0","0","50000","(주)씨앤에스자산관리_망원_난지","070-7778-6678","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"뚝섬","뚝섬1주차장","37.5276908","127.0781632","서울광진구자양동409(자양동)","67","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_뚝섬","02-455-7276","2023-12-01 00:00:00.0","2024-11-30 00:00:00.0"
"뚝섬","뚝섬2주차장","37.5290757","127.0735242","서울광진구자양동427-1(자양동)","356","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_뚝섬","02-455-7276","2023-12-01 00:00:00.0","2024-11-30 00:00:00.0"
"뚝섬","뚝섬3주차장","37.5306712","127.0673524","서울광진구자양동97-5(자양동)","112","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_뚝섬","02-455-7276","2023-12-01 00:00:00.0","2024-11-30 00:00:00.0"
"뚝섬","뚝섬4주차장","37.5314716","127.0644017","서울광진구자양동97-5(자양동)","136","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_뚝섬","02-455-7276","2023-12-01 00:00:00.0","2024-11-30 00:00:00.0"
"망원","망원1주차장","37.5444625","126.911188","서울마포구합정동352-5(망원동,망원 1-1 공영주차장)","149","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","(주)씨앤에스자산관리_망원_난지","070-7778-6678","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"망원","망원2,3주차장","37.5499925","126.9022723","서울마포구망원동205-5(망원동,망원동2-1공영주차장)","235","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","(주)씨앤에스자산관리_망원_난지","070-7778-6678","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"망원","망원4주차장","37.5564177","126.8940296","서울마포구동교로7(망원동)","194","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","(주)씨앤에스자산관리_망원_난지","070-7778-6678","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"반포","반포1주차장","37.5135907","127.0032551","서울서초구잠원동122-1(잠원동,한강공원잠원안내센터)","332","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
